text1,text2,distance
Overwhelming scientific research supports the beneficial medical effects of using cannabis.,"Any medicinal benefits of cannabis should be researched and drugs developed based on specific active ingredients, instead of it being legalised as an unrefined substance.",1
Overwhelming scientific research supports the beneficial medical effects of using cannabis.,There has yet to be enough long-term studies on the varieties and preparations necessary for medical use.,1
Cannabidiol is claimed to help with sleep disorders.,"Though it may decrease sleep problems in the short-term, it could impair sleep quality long-run.",1
"Cannabis users are less likely to suffer from psychosis and schizophrenia when compared to non-users as the 2008 Keele study showed, which surveyed over 5,000 regular uses of cannabis.",The study in question found no causal link between cannabis and psychiatric disorders.,1
Without legalisation it cannot be thoroughly researched.,"Any medicinal benefits of cannabis should be researched and drugs developed based on specific active ingredients, instead of it being legalised as an unrefined substance.",1
"Even if future research leads to safer and more effective treatments, this should not stop people taking advantage of treatments known from research to be sufficiently safe and effective today.","Any medicinal benefits of cannabis should be researched and drugs developed based on specific active ingredients, instead of it being legalised as an unrefined substance.",1
Legalisation for medical use enables greater tax revenue and additional jobs through introduction of a linked industry.,The government could be greedy and over taxation is a possibility.,1
Legalisation for medical use enables greater tax revenue and additional jobs through introduction of a linked industry.,"The same concept applies to synthetic, therapeutic cannabinoids",1
"The cannabis industry is one of the most gender inclusive industries going, and one of the first industry to shatter the glass ceiling in the US. www.forbes.com",The medical field is already gender inclusive; women make up the majority of many medical specialties.,1
"The cannabis industry is one of the most gender inclusive industries going, and one of the first industry to shatter the glass ceiling in the US. www.forbes.com",The legality of a medicinal substance should not be dependent on equal gender participation in the field. The two are not mutually exclusive.,1
The tax and revenue generated by cannabis sales will not only save the NHS but reinforce it.,There could be a potential risk for illegal cannabis users to abuse the medical system in order to get to them. This would put strain on the NHS.,1
"Bristol Universities study is irrelevant in this instances as it assumes that medicinal marijuana is to be smoked and that teens will be smoking it. THC can be consumed in much safer and far less 'cool' means. If we are worried about it leading teens in to other drugs, put an age limit on it.","Bristol University researchers' peer-reviewed study of 5,000 youths found that teens who regularly smoke pot are 26 times more likely to begin using other drugs by age 21, and they're 37 times more likely to be addicted to nicotine and 3 times more likely to have an alcohol problem, all as compared to teens who don't smoke marijuana.",1
"Correlation is not causation. It's very likely there is a common cause for all the factors above (bad parenting, trauma, mental health issues etc).","Bristol University researchers' peer-reviewed study of 5,000 youths found that teens who regularly smoke pot are 26 times more likely to begin using other drugs by age 21, and they're 37 times more likely to be addicted to nicotine and 3 times more likely to have an alcohol problem, all as compared to teens who don't smoke marijuana.",1
The statistics in countries that have already legalized suggest that an increase in use is not likely.,Legalising for medical purposes will encourage wider use.,1
"A decision on if a medical treatment should be made available to patients should not be based on if non-patients will use that treatment. This certainly isn't how pharmaceuticals are handled, so cannabis shouldn't be treated differently.",Legalising for medical purposes will encourage wider use.,1
"If cannabis can bring benefits or joy to the people that use it, then wider use is not necessarily a bad thing.",Legalising for medical purposes will encourage wider use.,1
Wider use of cannabis is safer than wider use of alcohol which can be over-dosed leading to fatalities.,Legalising for medical purposes will encourage wider use.,1
Correlation is not causation.,"Research shows that cannabis and psychotic
disorders occur together more often than would be expected by chance.",1
"This does not imply causation, and in fact the drivers of early life drug use and later anxiety/depression can be the same.",A study following 1600 adolescents showed that those who used cannabis daily were five times more likely to develop depression and anxiety in later life.,1
"All medications carry side effects, for example opiates which are widely used as painkillers are highly addictive. The risks of medical cannabis should be balanced against the benefits for a particularly individual, just like any drug.",Cannabis can exacerbate mental health issues. This could lead to unintentional triggering of ill-health.,1
Epidemiological studies have failed to find a correlation between increased cannabis use in the population and the expected rise in schizophrenia cases.,Cannabis can exacerbate mental health issues. This could lead to unintentional triggering of ill-health.,1
"The exact same can be said of alcohol, prescription medications and Even heavy social media use, in fact harmful effects on mental health are higher in all three of these totally legal things.",Cannabis can exacerbate mental health issues. This could lead to unintentional triggering of ill-health.,1
"Legalisation would increase access to alternatives to smoking such as ""edibles"" (no lung damage) or juicing of the raw plant (without heat, it has no psychoactive properties, thus no potential for purported mental health side effects).","Recently, the cannabis plant was found to contain carcinogenic mutagens that can affect people's lungs. Thus, any introduction for medical use may have more harmful impacts in the long term.",1
Cancerous mutagens could be present in cannabis if grown with inorganic growth regulators.humboldtseeds.net,"Recently, the cannabis plant was found to contain carcinogenic mutagens that can affect people's lungs. Thus, any introduction for medical use may have more harmful impacts in the long term.",1
"The study cited did not administer cannabis, they used WIN 55,212‐2 which is not present in cannabis. It does bind to the CB1 receptor, as does THC, but it cannot be assumed to have the same effects.","Psychiatric researchers found out that long-term use of either cannabis or cannabis-based drugs impairs memory. They found that mice exposed to the drug long-term had ""significant ... memory impairments"" and could not even discriminate between a familiar and novel object.",1
"Mice, very simply, are not human beings. Besides their bodies being smaller and working differently, they would experience different effects anyway.","Psychiatric researchers found out that long-term use of either cannabis or cannabis-based drugs impairs memory. They found that mice exposed to the drug long-term had ""significant ... memory impairments"" and could not even discriminate between a familiar and novel object.",1
It should be up to the individual to decide whether the risk is worth taking.,Cannabis has harmful effects on people's health.,1
While cannabis can have side effects it is impossible to die from overdose unlike prescription medication.,Cannabis has harmful effects on people's health.,1
"All medications carry side effects, for example opiates which are widely used as painkillers are highly addictive. The risks of medical cannabis should be balanced against the benefits for a particularly individual, just like any drug.",Cannabis has harmful effects on people's health.,1
"Cannabis is safer than some other (highly addictive) medications prescribed to treat the same symptoms, like being used instead of opioids for pain chronic management, or to reduce the amount of vomiting/nausea from a chemotherapy patient. verywellhealth.com",Cannabis has harmful effects on people's health.,1
"It was used as a medication from the 1800’s until it was banned for race reasons by the government. It should be available like alcohol, tobacco and paracetamol, where it’s regulated and provided on prescription for those of us that need itnarconon.org",Cannabis has harmful effects on people's health.,1
"So do other substances, such as tobacco and alcohol, and yet these are legal.",Cannabis has harmful effects on people's health.,1
"Studies have shown a positive correlation with lower BMI and increased metabolic rates in marijuana users. Consequently, the risk of Diabetes lowers and waste lines are generally thinner in users compared to those who don't intake cannabis.",Cannabis has harmful effects on people's health.,1
The legalisation of cannabis use for medical purposes would allow the products to be monitored and regulated as with all other pharmaceutical products. This would decrease harmful additives and increase the quality of the product.,Cannabis has harmful effects on people's health.,1
"The study cited did not administer cannabis, they used WIN 55,212‐2 which is not present in cannabis. It does bind to the CB1 receptor, as does THC, but it cannot be assumed to have the same effects.","Psychiatric researchers found out that long-term use of either cannabis or cannabis-based drugs impairs memory. They found that mice exposed to the drug long-term had ""significant ... memory impairments"" and could not even discriminate between a familiar and novel object.",1
"Mice, very simply, are not human beings. Besides their bodies being smaller and working differently, they would experience different effects anyway.","Psychiatric researchers found out that long-term use of either cannabis or cannabis-based drugs impairs memory. They found that mice exposed to the drug long-term had ""significant ... memory impairments"" and could not even discriminate between a familiar and novel object.",1
"This study did not study ordinary recreational cannabis users or medical users, they were people diagnosed with Cannabis Use Disorder. To draw conclusions about moderate or medical cannabis use from a study of people with Cannabis Use Disorder is like generalising from alcoholics to moderate drinkers.","ALL 1,000 U.S. cannabis smokers in a study had ""low blood flow"" throughout the brain and, tragically, restricted blood flow in the brain's memory/dementia region.",1
"This only applies to activities that require concentration, such as work and childcare. There are many people who would benefit from medical marijuana who's level of concentration would be of little consequence.",It makes it harder to concentrate as well as has an impact on the person's capacity to organise and use information.,1
The effect of cannabis disrupting the memory can be used to treat habitual memory illnesses including PTSD.,Cannabis has been proven to have very negative impacts on a person's learning abilities.,1
"While in under 18s this is true, results in over 18s are negligible. www.theguardian.com If cannabis was legalised, it would be much harder for under 18s to access.",Cannabis has been proven to have very negative impacts on a person's learning abilities.,1
"Cannabis- more specifically, the very much demonised THC compound, has been shown to help treat Alzheimers.",Cannabis has been proven to have very negative impacts on a person's learning abilities.,1
"Having an EC system just means that cannabinoids have an effect on humans. It does not mean this effect is beneficial (as ""cures"")",Humans have an endo-cannabinoid system. Basically we are designed to receive cannabinoids as cures.,1
"Since, by definition, all drugs we use as treatments are those that interact with human biology, this does not distinguish cannabinoids from any other treatment. Things which we aren't ""designed to receive"" don't become treatments in the first place.",Humans have an endo-cannabinoid system. Basically we are designed to receive cannabinoids as cures.,1
"This ignores the fact that many of the compounds in cannabis have not been identified, and their interactions with each other.",There is no reason to legalise the whole cannabis plant when individual cannabinoids can be more accurately dosed.,1
The theraputic effects of cannabis are suggested to be related to terpenoids found in the plant working in combination with the cannabinoids.,There is no reason to legalise the whole cannabis plant when individual cannabinoids can be more accurately dosed.,1
