text1,text2,distance
Secondhand smoke is damaging to the health of non-smokers.,No one is being forced to be around people while they smoke,1
Secondhand smoke is damaging to the health of non-smokers.,"This is an argument for banning smoking in public areas unless all present have given consent, not a complete ban.",1
Secondhand smoke is damaging to the health of non-smokers.,"The negative health effects of inhaling some second-hand smoke are but the tip of the iceberg when compared with living in densely populated urban areas. In more sparsely populated rural areas, smokers are easily avoided. Thus, the factor of secondhand smoke on well-being is, while not entirely negligible, trace. (N.B. one must of course concede that controls on parents smoking around their children are still a good idea, and not subject to this argument)",1
Some parents smoke in their homes exposing young children with nowhere else to go to second hand smoke.,"Cigarettes are banned in most enclosed spaces, and thus fairly easy to avoid.",1
In Austria it is legal to smoke in bars and restaurants.,"Cigarettes are banned in most enclosed spaces, and thus fairly easy to avoid.",1
In Austria it is legal to smoke in bars and restaurants.,"Not for much longer. It's been an ongoing dispute for several years, which now seems to settle towards prohibition.",1
Some parents smoke in their homes exposing young children with nowhere else to go to second hand smoke.,No one is being forced to be around people while they smoke,1
"When people smoke in public areas, it's often very difficult for those around them to avoid the second-hand smoke.",No one is being forced to be around people while they smoke,1
"When people smoke in public areas, it's often very difficult for those around them to avoid the second-hand smoke.","That is an argument for banning smoking in public areas, not for banning smoking",1
Many smokers smoke outside buildings. Upon leaving and entering that building one has to walk through that wall of smoke.,No one is being forced to be around people while they smoke,1
No one is to be forced to relocate themselves in order not to be affected by air pollution caused by a smoker's voluntary act.,No one is being forced to be around people while they smoke,1
"Smokers prove themselves more than likely to neglect or violate such prohibitions, whereas the law enforcement officers tend to ignore such offences as too minor.","This is an argument for banning smoking in public areas unless all present have given consent, not a complete ban.",1
This is undermining the effect of second hand smoking by comparing it to living in populated rural areas which is not the topic at hand.,"The negative health effects of inhaling some second-hand smoke are but the tip of the iceberg when compared with living in densely populated urban areas. In more sparsely populated rural areas, smokers are easily avoided. Thus, the factor of secondhand smoke on well-being is, while not entirely negligible, trace. (N.B. one must of course concede that controls on parents smoking around their children are still a good idea, and not subject to this argument)",1
"Living in a densely populated area, and its health harming effects, is something most people cannot easily avoid (since there are more jobs available) while second-hand smoking is much easier to ban and avoid.","The negative health effects of inhaling some second-hand smoke are but the tip of the iceberg when compared with living in densely populated urban areas. In more sparsely populated rural areas, smokers are easily avoided. Thus, the factor of secondhand smoke on well-being is, while not entirely negligible, trace. (N.B. one must of course concede that controls on parents smoking around their children are still a good idea, and not subject to this argument)",1
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,"Statistically that may not be the case. Smokers generally don't live as long as the rest of the population, which means that they have less years in which to make health insurance claims. Therefore any burden they create is mitigated.",1
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,It only is a burden if the smoker chooses to not have healthcare.  Insurance companies need to be allowed to charge more for people who are shown through general physicals to be less healthy than the average based on poor health decisions (not genetics).  Only in conditions of immediate life threatening injury should a hospital be required to help and only under the condition of rehabilitation and health conscious support being given in return.,1
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,Through purchasing cigarettes smokers contribute more in tax than is needed to deal with the costs of their potential health issues.,1
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,"Alcohol is also a huge healthcare burden, including harming others as well as the consumers health. However there is never the same discussion around banning alcohol and its use is far more normalised.",1
"The health costs are a burden on society. Uninsured patients drive up costs, and insured patients increase the cost of insurance for everyone.",The government will lose billions in taxes if they were to ban cigarettes.,1
"The health costs are a burden on society. Uninsured patients drive up costs, and insured patients increase the cost of insurance for everyone.",Insurance companies usually charge higher premiums for smokers.,1
Cigarettes weigh heavily on the healthcare system.,The government will lose billions in taxes if they were to ban cigarettes.,1
"True, but for society it would be an overall benefit. Taxes on unhealthy products should not be meant to remain.",The government will lose billions in taxes if they were to ban cigarettes.,1
The medical procedures and cancer treatments they undergo during their life rack up enormous costs.,"Statistically that may not be the case. Smokers generally don't live as long as the rest of the population, which means that they have less years in which to make health insurance claims. Therefore any burden they create is mitigated.",1
"The source given states the opposite overall.
""lost productive capacity due to premature death or smoking-associated illness (labour costs)"" [17.2.1]  costs $15,592.2 million Australian dollars (before the subtracting costs saved by death)  [17.2.2]","Statistically that may not be the case. Smokers generally don't live as long as the rest of the population, which means that they have less years in which to make health insurance claims. Therefore any burden they create is mitigated.",1
Smoking is addictive.,Many pain medications can be addictive but are not banned and are considered necessary for pain management,1
Smoking is addictive.,Adults are traditionally allowed to do many things that contain risk or self harm. The most common approach is to ensure they are aware of the risks so they can make informed choices,1
Smoking is addictive.,Banning cigarettes could lead to an increase in aggressive behaviour due to nicotine withdrawal.,1
Big business' commercialization of tobacco has resulted in marketing campaigns targeting children causing people to get addicted at young ages. Banning the sale but not the growth of tobacco would limit the widespread harm caused by tobacco and the industry.,Selling cigarettes to minors is already illegal basically everywhere and the health risks are clearly stated on each pack of cigarettes you can legally buy.,1
"The Opioid Crisis stands as evidence that such medications are often over-prescribed or falsely prescribed, and as a result millions of people have become addicted to such substances and tens of thousands have died.",Many pain medications can be addictive but are not banned and are considered necessary for pain management,1
Cigarettes are not considered necessary for any medical conditions though.,Many pain medications can be addictive but are not banned and are considered necessary for pain management,1
Not only adults are smokers. Many young people replicate behaviours of adults without realizing the risk.,Adults are traditionally allowed to do many things that contain risk or self harm. The most common approach is to ensure they are aware of the risks so they can make informed choices,1
Smoking is detrimental to the health of the smoker.,The smoker is aware of the risks.,1
Smoking is detrimental to the health of the smoker.,"Nicotine can also have helpful effects on the body, such as reducing depression and irritability, improving one's mood, and enhancing both short-term memory and concentration.",1
Smoking is detrimental to the health of the smoker.,"By that standard, sugar, tee or even coffee should be banned. That is a restriction on life itself. It disrespects the human as an individual capable of making their own decisions.",1
Smoking is detrimental to the health of the smoker.,Death from smoking is their own fault and helps limit population growth,1
Smoking is detrimental to the health of the smoker.,Everyone should have the right to make their own decisions in regards to their health.,1
"Smoking does not actually relieve stress. In fact, it may even cause more tension and anxiety.","Nicotine can also have helpful effects on the body, such as reducing depression and irritability, improving one's mood, and enhancing both short-term memory and concentration.",1
"Smoking does not actually relieve stress. In fact, it may even cause more tension and anxiety.","This is only the case if people smoke excessively. As long as people smoke in moderate amounts, it won't cause more tension or anxiety and can be seen as a coping mechanism for people who feel like the alternatives aren't working for them.",1
"Standard by which cigarettes should be banned is dependent on the degree of harmful effects. Sugar, tea and coffe are much less harmful to a person's health.","By that standard, sugar, tee or even coffee should be banned. That is a restriction on life itself. It disrespects the human as an individual capable of making their own decisions.",1
"Life expectancy in developed countries is over 70 years. If smokers die on average 10 years before compared to non-smokers, that means they die being around 60 years old. At that age, most people have already had children, therefore there is no reduction of population growth.",Death from smoking is their own fault and helps limit population growth,1
This is a slippery slope fallacy. Cigarettes becoming banned does not imply any product deemed harmful at any level would be banned. Each product would be considered on a case by case basis.,"Banning cigarettes sets a dangerous precedent for banning any product deemed harmful to health. Most processed foods have unhealthy amounts of salts, sugars and fat.",1
Secondhand smoke is damaging to the health of non-smokers.,Everyone should have the right to make their own decisions in regards to their health.,1
Secondhand smoke is damaging to the health of non-smokers.,No one is being forced to be around people while they smoke,1
