text1,text2,distance
Prioritising the psychological state of the population can have multiple benefits on health.,Psychological health should be an individual responsibility not a public one.,1
Prioritising the psychological state of the population can have multiple benefits on health.,"The focus on the psychological state of the population should start in school, so children can grow up into mentally healthy adults.",1
The benefits of prioritizing psychological health would be multi-fold and could lead to a reduction of excess deaths and increased potential to fight off disease.,Providing basic sanitation services worldwide should be the number one priority to fight off disease.,1
"The immune system and mental health are closely linked, therefore, healthy psychological status can ensure a strong immune system to fight off disease.","Food and exercise are also closely linked to the immune system, therefore they should also be prioritised in public health decisions.",1
"In countries where there are no problems to access basic sanitation services, psychological health should be prioritized.",Providing basic sanitation services worldwide should be the number one priority to fight off disease.,1
Recent studies have confirmed the link between mental health and physical health.,Studies have also identified social determinants of mental health. Addressing social issues should be the number one priority.,1
Recent studies illuminate the bidirectional relationship between depression and inflammation.,Without tackling the main causes of depression it would be hard to prioritise the psychological state of the population in public health decision makers.,1
The relationship between cardiovascular disease and depression has also been studied.,"According to WHO, it is estimated that 5% of adults suffer from depression globally. Such a small representation of the population can't be considered a priority in global health decisions.",1
"The causes of depression are very specific to each individual, as they can have a genetic origin, or they can be due to personal traumatic experiences.",Without tackling the main causes of depression it would be hard to prioritise the psychological state of the population in public health decision makers.,1
"A balanced approach to public mental health policy should be taken. One that reflects both mental health promotion and prevention, while considering mental health inequalities and the wider social determinants of health. (p.37)",Studies have also identified social determinants of mental health. Addressing social issues should be the number one priority.,1
"When a person suffers from mental health issues they tend to need guidance to improve their well-being. Paternalistic practices can, therefore, be justified.","If mental health's responsibility is assigned to institutions, individuals would see their freedom limited because mental health would become paternalistic.",1
Mental health should be a public health issue not and individual responsibility.,Psychological health should be an individual responsibility not a public one.,1
Mental health should be a public health issue not and individual responsibility.,"Personal responsibility is considered important in mental health recovery, therefore, mental health can't be public.",1
Children's mental health is strongly related to their living conditions. The priority should be set into ensuring safe environments for children worldwide.,"According to UNICEF, half of all mental health conditions start by 14 years of age, but most cases go undetected and untreated.",1
Teachers are not trained to teach mental health.,"The focus on the psychological state of the population should start in school, so children can grow up into mentally healthy adults.",1
Teachers are not trained to teach mental health.,Teachers might not be trained in mental health but they have a crucial role in identifying students with mental health problems.,1
Prioritizing psychological impact would improve the efficiency of public health operations and reduce costs.,This would require a great shift in perspective and radical changes in how public health is practiced.,1
Prioritizing psychological impact would improve the efficiency of public health operations and reduce costs.,Prioritizing psychological impact in public health decisions won't be efficient until the current stigma on mental health disappears.,1
"Targeting common mental health issues and identifying its main factors is essential for the sustainability, growth and development of society.","Despite mental health being essential for the development of society, budgets allocated to public health are very limited.",1
"Targeting common mental health issues and identifying its main factors is essential for the sustainability, growth and development of society.","There are other more important priorities for the sustainability, growth and development of society, such as tackling climate change.",1
Identifying and targeting sources of stress in the population might actually improve the overall population well-being.,Public health decision-making bodies already offer resources for people dealing with stress.,1
Identifying and targeting sources of stress in the population might actually improve the overall population well-being.,"A stressor is defined as anything that causes stress. Therefore, identifying sources of stress would be a meaningless endeavor, as each identified source could be a stressor to certain groups of people.",1
"Stress negatively affects immunity. Within the context of the COVID-19 pandemic, stress can impede recovery, increase mortality, and delay the development of immunity following vaccination.",A global pandemic is a source of stress. There's no need to identify sources of stress in such cases.,1
"Stress negatively affects immunity. Within the context of the COVID-19 pandemic, stress can impede recovery, increase mortality, and delay the development of immunity following vaccination.","Lock-downs can also negatively affect immunity and stress levels, yet they became common during the COVID-19 pandemic.",1
The nocebo effect in the case of vaccines and beliefs about vaccines has not yet been targeted or sufficiently explored.,Some serious side effects of the COVID-19 vaccines such as myocarditis and pericarditis can't be explained by the nocebo effect.,1
"Dr. Brian Olshansky in his viewpoint published in the Journal of the Americal College of Cardiology, reviews evidence that show that the Nocebo effect can explain a number of biological responses ranging from acute and transient symtoms to death.",Some serious side effects of the COVID-19 vaccines such as myocarditis and pericarditis can't be explained by the nocebo effect.,1
