text1,text2,distance
"We don't need single-use plastic, as there are reusable and better options.",Many multi-use items are not affordable enough for people on tight budgets.,1
"We don't need single-use plastic, as there are reusable and better options.",Existing reusable alternatives lack many of the benefits of plastic.,1
"We don't need single-use plastic, as there are reusable and better options.","Many single-use plastics, such as plastic bags, can be reused.",1
"Reusable shopping bags can be made out of canvas, cotton, fibre or other reusable material.","The number of times needed to use alternative bags make them not as eco-friendly as disposable, plastic ones.",1
"As plastic is a relatively new invention, we can revert to past methods to remedy this current crisis.","Plastics are essential lifesaving materials, and reverting to past materials would cost lives.",1
"As plastic is a relatively new invention, we can revert to past methods to remedy this current crisis.",Plastic is used in almost every facet of modern life. Reverting to a pre-plastic age is not feasible without a complete breakdown of society.,1
"If people reverted to eating more locally produced foods, the demand for plastic packaging would decrease.",Eating more locally produced foods is not necessarily better for the environment due to less efficient production techniques that require more resources.,1
The most common single-use plastics that pollute the environment are not essential for society to function and could be banned with little economic disruption.,Plastic is used in almost every facet of modern life. Reverting to a pre-plastic age is not feasible without a complete breakdown of society.,1
"Some materials, like glass and metal, can be recycled many times, reducing the amount of waste they produce.",Metal reusable bottles can have health risks.,1
Glass bottles can be easily recycled and made into new bottles.,Glass alternatives are more likely to break than plastics.,1
There is no scientific consensus on aluminum's link to Alzheimer's and many large scale studies have failed to find a correlation.,"Some bottles use aluminum, which has been linked to diseases such as Alzheimer's.",1
Stainless steel bottles are generally safe to use and pose virtually no threat to human health.,Metal reusable bottles can have health risks.,1
Stainless steel bottles are generally safe to use and pose virtually no threat to human health.,The steel industry is responsible for nearly 8% of carbon emissions globally. It is thus irresponsible to contribute to this by buying steel bottles.,1
Companies like IKEA sell reusable plastic kitchen items at affordable prices.,Reusable kitchenware can often be expensive in comparison to plastic items.,1
"While affordability is not a human right, having access to a livable environment is. We should find ways for those who can’t afford these multi-use items to access them.",Many multi-use items are not affordable enough for people on tight budgets.,1
"While affordability is not a human right, having access to a livable environment is. We should find ways for those who can’t afford these multi-use items to access them.",Poorer countries may not have the resources to provide these items to their people.,1
"While affordability is not a human right, having access to a livable environment is. We should find ways for those who can’t afford these multi-use items to access them.","Access to a livable environment is not a human right, as evidenced by the fact that 15 million people live and work in garbage dump communities.",1
"Over time, it is more expensive to continuously buy new, disposable plastic items than it is to buy reusable items once.",Many multi-use items are not affordable enough for people on tight budgets.,1
"Metal utensils, bottles, and straws are more durable than plastic.",Other alternatives are not as durable as plastic.,1
Plastics would become more expensive and less desirable if they were subject to higher taxes.,"Plastics are cheap, lightweight and adaptable in ways that many of the alternatives are not.",1
"Whilst not reusable, there is a wide array of biodegradable bandages available.","This is true for some plastic items used for healthcare, like syringes and band-aids.",1
Packaging of medical devices can be recycled and used for other purposes.,"This is true for some plastic items used for healthcare, like syringes and band-aids.",1
Packaging of medical devices can be recycled and used for other purposes.,Doing so would be a health hazard to those working at a recycling plant.,1
Humanity lived without those benefits for millennia. It is likely we could adapt to living without them again.,Existing reusable alternatives lack many of the benefits of plastic.,1
Plastic bags aren't always reused - there is still a percentage which will only be used once and thrown away.,"Many single-use plastics, such as plastic bags, can be reused.",1
"Plastic bags are much more easily reused than other items, such as straws, food packaging, cutlery, etc., all of which are more difficult to reuse because of hygiene issues.","Many single-use plastics, such as plastic bags, can be reused.",1
"Plastic bags are much more easily reused than other items, such as straws, food packaging, cutlery, etc., all of which are more difficult to reuse because of hygiene issues.","Plastic bags are one of the major sources of plastic pollution, with trillions of them having been produced. Reusing them will make a huge impact on the amount of overall waste produced, even if other items are thrown away.",1
Single-use plastics are bad for the environment.,The negative environmental impact of plastics can be mitigated through effective waste management at the individual and infrastructural level.,1
Single-use plastics are bad for the environment.,"Like disposable plastic, reusable alternatives can also be bad for the environment.",1
Single-use plastics contribute to greenhouse gas emissions at every stage of its lifecycle.,Virtually all materials contribute to greenhouse gas emissions during their lifecycle.,1
The fact that other materials contribute to greenhouse gas emissions should not diminish the drive to reduce our reliance on single-use plastics.,Virtually all materials contribute to greenhouse gas emissions during their lifecycle.,1
Single-use plastics can take hundreds of years to decompose.,Studies have found that the time it takes for plastics to decompose vary wildly according to the type of plastic and the conditions in which it's kept.,1
Single-use plastics can have a devastating effect on marine life.,"New technologies can overcome plastic's negative effect on the oceans, so a ban of single-use plastics is not needed.",1
"Current technologies do not have the capacity to clean up all of the plastic in the ocean, which contains countless pieces of visible and invisible plastic.","New technologies can overcome plastic's negative effect on the oceans, so a ban of single-use plastics is not needed.",1
"This is likely to be unfeasible in many developing countries, where recycling rates and environmental standards are much lower than developed countries.",The negative environmental impact of plastics can be mitigated through effective waste management at the individual and infrastructural level.,1
