text1,text2,distance
HPV is a harmful virus.,"In most cases, HPV goes away on its own and does not cause any health problems.",1
HPV is a harmful virus.,There are many vaccinations for harmful/deadly viruses that are not provided for free. Doing so for HPV is not necessary.,1
HPV is a harmful virus.,HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,1
"By the same logic, we should not require/ encourage people to wear seat belts or purchase collision insurance, since most trips by auto do not result in a collision.","In most cases, HPV goes away on its own and does not cause any health problems.",1
Providing free vaccination for one harmful virus is better than providing no vaccination at all. Increasing the scope of this policy could be a future consideration.,It would not make sense to provide free vaccination for one harmful virus and not all.,1
"Each vaccine must be evaluated separately based on disease burden, vaccine efficacy, vaccine effects, and the logistical considerations (including cost) of widespread immunization policies.",It would not make sense to provide free vaccination for one harmful virus and not all.,1
Many countries offer readily available vaccinations for harmful viruses for free.,There are many vaccinations for harmful/deadly viruses that are not provided for free. Doing so for HPV is not necessary.,1
"In the UK, vaccinations such as the 6-in-1 vaccine and PCV vaccine are administered free of charge.",The UK has a universal healthcare system in place that many countries do not. This makes it easier to offer free vaccines.,1
"In Germany, vaccinations for adults are covered by insurance. Vaccinations for children are free.","Germany has an established public health care system that can more readily cover the cost of free vaccines. Many countries, like the US, do not.",1
Sixty-nine NCI-Designated Cancer Centers stated the low rates of people vaccinating against HPV is a 'serious public health threat.'.,The World Health Organization has prioritized several diseases and viruses that have the potential to be a public health emergency. HPV is not one of them.,1
"HPV is one of the leading causes of cervical cancer, which is the 4th most common cancers for women. If everyone received an effective vaccine for HPV we could eliminate hundreds of thousands, perhaps millions of cases of cervical cancer every year.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,1
"Of over 369 million Americans, 79 million are infected with HPV. This is a substantial amount of the population.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,1
"If it is not as pervasive an issue, it will require fewer funds.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,1
"If it is not as pervasive an issue, it will require fewer funds.","Vaccinating everyone will require the same amount of resources, regardless of the percentage of the population that are at risk. Even if HPV is not a ""big issue"" a universal vaccination strategy will be expensive.",1
Implementing a comprehensive HPV vaccination program was found to be cost-effective and an economically sound decision (p. 13).,HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,1
It will benefit the poor disproportionately.,"Some poor communities have less access to HPV vaccination protocols, even when available for free.",1
It will benefit the poor disproportionately.,"This indicates a need for poorer communities to receive the vaccine for free, not everyone.",1
The cost of a HPV vaccination series is between $130 - $170 per injection. Poorer families may not be able to afford this.,Low-income US residence receiving Medicaid have access to the vaccination.,1
The cost of a HPV vaccination series is between $130 - $170 per injection. Poorer families may not be able to afford this.,There already low cost options for lower income individuals.,1
Offering a free vaccine is much more beneficial to low income families than paying a lower price.,There already low cost options for lower income individuals.,1
"Authorities can put more effort into making sure poor communities have better access, but they will still be needed for free.","Some poor communities have less access to HPV vaccination protocols, even when available for free.",1
Providing it for free to everyone would prevent fraudulent administration.,"This indicates a need for poorer communities to receive the vaccine for free, not everyone.",1
