text1,text2,distance
Formulation of genetically modified food endangers the lives and health of citizens around the world.,Genetically modified food is often subject to more rigorous safety checks than its non-GM counterparts.,1
Formulation of genetically modified food endangers the lives and health of citizens around the world.,"Many of the processes employed in genetic modification have occurred, in nature and in traditional agriculture, for years without any identifiable health risks. As such, it seems unlikely that GMOs pose a greater risk than non-GMOs.",1
Use of the herbicide glyphosate has dramatically increased since the introduction of GM glyphosate-tolerant crops. Glyphosate can be linked to many health problems.,"Glyphosate use is not intrinsically linked to GMOs, thus if it is glyphosate and not GM food that has dangerous side effects, it would be far more logical to ban glyphosate than GMOs.",1
Use of the herbicide glyphosate has dramatically increased since the introduction of GM glyphosate-tolerant crops. Glyphosate can be linked to many health problems.,Multiple studies linking glyphosate to numerous health risks have been discredited as unsupported by the available scientific evidence.,1
"The recent rise in celiac disease correlates with the increased use of glyphosate on wheat crops and the presence of gluten proteins. For those with a genetic predisposition, the glyphosate found on genetically modified foods may exacerbate, or trigger the onset of, celiac disease (p. 160).","While the study referenced above touches on possible mechanisms of causation, it neither proves nor investigates the relationship between these mechanisms and the rise in incidence of celiac disease. For example, the study used glyphosate levels that were thousands of times higher than those present in genetically modified foods, the latter of which are too low to alter gut bacteria (p. 1).",1
"Research suggests that glyphosate-based herbicides could be linked to birth defects, cancer, kidney disease, and non-alcoholic fatty liver disease.",Several external organisations have found major flaws (such as the reliance on animal studies) and evidence of unreported non-carcinogenic findings in the IARC's study that may significantly affect the conclusions drawn.,1
"Research suggests that glyphosate-based herbicides could be linked to birth defects, cancer, kidney disease, and non-alcoholic fatty liver disease.","In the cited study regarding birth defects, the authors state that the results are preliminary and must be confirmed through additional research (p. 1).",1
"Since glyphosate use seemed to become prevalent only in conjunction with the widespread adoption of GM crops (p. 175), it follows that if GM crops were phased out, glyphosate use would likely be reduced or eradicated along with it.","Glyphosate use is not intrinsically linked to GMOs, thus if it is glyphosate and not GM food that has dangerous side effects, it would be far more logical to ban glyphosate than GMOs.",1
"Since glyphosate use seemed to become prevalent only in conjunction with the widespread adoption of GM crops (p. 175), it follows that if GM crops were phased out, glyphosate use would likely be reduced or eradicated along with it.","There are other key reasons for the global increase in glyphosate that are not entirely linked to the rise of GMOs: its perceived lack of toxicity, relatively low price (p. 175), and its use in the growing practices of both pre-harvest crop desiccation and ripening sugar cane (p. 159).",1
Genetically modified organisms may have irreversibly harmful impacts on the efficacy of vital medicines and treatments due to increased antibiotic resistance.,"Many diseases cause unnecessary health complications and deaths due to a lack of available vaccines (p. 1). Genetic modification could create plant-based, edible vaccines that are cheaper and more accessible, safeguarding millions of otherwise vulnerable people against such diseases.",1
Genetically modified organisms may have irreversibly harmful impacts on the efficacy of vital medicines and treatments due to increased antibiotic resistance.,"Insulin - a vital hormone that diabetic humans cannot produce naturally, and must therefore inject themselves with regularly - can be made artificially by genetic modification of a common bacterium using a human gene.",1
Genetically modified organisms may have irreversibly harmful impacts on the efficacy of vital medicines and treatments due to increased antibiotic resistance.,"GMOs are usually individually assessed by regulatory bodies for associated risks, including any potential risk from antibiotic-resistant genes. If the risk were more than negligible, the GMO would not be approved for use in practice.",1
The state should abide by the precautionary principle. Genetically modified crops should not be used unless it is certain that no harmful consequences will be caused by their use.,"Genetically modified crops can only be grown if they are approved for use by the appropriate regional agency, who will only do so if there is scientific evidence that they will not harm the environment or people.",1
The state should abide by the precautionary principle. Genetically modified crops should not be used unless it is certain that no harmful consequences will be caused by their use.,"No one can ever guarantee that the implementation and use of new technologies will be completely risk-free, as demonstrated by the persistent controversy and uncertainty surrounding the widespread use of mobile phones (p. 1). As such, the adoption of the precautionary principle would essentially ban every new form of technology.",1
"The US does not require genetically engineered plants to be proven safe. The FDA claims that GM foods can be marketed without prior testing because they are GRAS, meaning “generally recognized as safe”.",Genetically modified food is often subject to more rigorous safety checks than its non-GM counterparts.,1
"The US does not require genetically engineered plants to be proven safe. The FDA claims that GM foods can be marketed without prior testing because they are GRAS, meaning “generally recognized as safe”.","The FDA's website clearly states that: ""Foods from [genetically modified] plants must meet the same food safety requirements as foods derived from traditionally bred plants.""",1
"Not everything in life is necessarily practical, especially when it comes to food.",The evolution of plants by natural selection does not necessarily result in desirable or practical crops for humans. Their modification has thus been a necessary practice throughout history in order to cultivate ones more suitable for human consumption.,1
"Monoculture cropping leaves large yields of crop vulnerable to the same diseases and blights, carrying the risk of wiping out a massive quantity all at once.","Humanity has been creating and using GMOs throughout history via selective breeding, a form of monoculture. As a result, many species are now significantly different from their wild ancestors in ways that are more beneficial to humans.",1
"Monoculture cropping leaves large yields of crop vulnerable to the same diseases and blights, carrying the risk of wiping out a massive quantity all at once.",Monocultures can be genetically modified to become disease-resistant.,1
"Genetically modified animals sometimes contain genes derived from other species. Though horizontal gene transfer has occurred naturally between different plants, such as sweet potatoes, it has not occurred without human interference in any animal species more complex than invertebrates, such as sea slugs.","Many of the processes employed in genetic modification have occurred, in nature and in traditional agriculture, for years without any identifiable health risks. As such, it seems unlikely that GMOs pose a greater risk than non-GMOs.",1
"While many agricultural practices may be seen as similar to modern-day genetic modification, the former have often been used throughout history, while the latter is a recent phenomenon. With this in mind, the similarities are not enough to conclude that modern GMO foods pose no greater risks than long-established, non-GMO ones.","Many of the processes employed in genetic modification have occurred, in nature and in traditional agriculture, for years without any identifiable health risks. As such, it seems unlikely that GMOs pose a greater risk than non-GMOs.",1
