text1,text2,distance
Closing borders with China would have reduced the spread of COVID-19.,"Even if official flights to and from China were banned, people would have found a way to get from one point to another.",1
Closing borders with China would have reduced the spread of COVID-19.,"The virus had already spread beyond the borders of China by the time border closings would have taken effect, making it an ineffective policy.",1
Closing borders with China would have reduced the spread of COVID-19.,"While closing borders may reduce the spread of the virus globally, it may have little effect on a national scale.",1
"Individuals can be infected but asymptomatic. Thus, blocking borders entirely would have decreased the likelihood of those who do not appear to be infected from spreading the disease across borders.",Rapid COVID-19 test kits could be used to determine if a person is negative and therefore fit to travel.,1
Rapid test kits are unreliable at detecting COVID-19 cases.,Rapid COVID-19 test kits could be used to determine if a person is negative and therefore fit to travel.,1
"Rapid test kits were not developed until later on during the pandemic, in May 2020. Countries would thus have been better off closing their borders entirely.",Rapid COVID-19 test kits could be used to determine if a person is negative and therefore fit to travel.,1
A consistent global response may mean that people are more likely to take the recommended health measures seriously.,Conspiracy theorists could see a consistent global response as evidence of a nefarious plot to control people.,1
Individuals are likely to take the threat seriously if they see others all across the globe taking similar measures.,"In India, some people who are suspected of having COVID-19 are fleeing quarantine.",1
A small number of fringe conspiracy theorists should not affect the decision-making on such an important issue.,Conspiracy theorists could see a consistent global response as evidence of a nefarious plot to control people.,1
A small number of fringe conspiracy theorists should not affect the decision-making on such an important issue.,Significant portions of numerous countries' populations believe some kind of COVID-19 conspiracy theories.,1
The logical extension of widely recommended 'social distancing' policies would have been closing borders and banning all travel across the world.,Social distancing involves limiting close contact between people. It could still be possible to travel internationally while maintaining a safe distance from those around you.,1
One of the most effective ways to prevent the spread of a virus is to isolate cases within the territories they are prevalent in. Blocking exit and entry to China would have implemented this on an international scale.,"Countries could still keep their borders open, but enforce 14-day quarantine periods for new arrivals.",1
"Such a policy is likely to place higher demand on a country's already-limited resources, such as accommodation, food, and workers who are trained to carry out the necessary administrative processes.","Countries could still keep their borders open, but enforce 14-day quarantine periods for new arrivals.",1
"Such a policy is likely to place higher demand on a country's already-limited resources, such as accommodation, food, and workers who are trained to carry out the necessary administrative processes.","Arrivals can pay for quarantine facilities themselves, reducing the strain on incoming countries' resources.",1
Not all individuals can afford to pay the steep costs associated with these quarantine facilities.,"Arrivals can pay for quarantine facilities themselves, reducing the strain on incoming countries' resources.",1
"Early in the outbreak, experts were unsure whether the incubation period for the virus was 14 days or 24 days.","Countries could still keep their borders open, but enforce 14-day quarantine periods for new arrivals.",1
Blocking borders is in accordance with wider recommendations to stop large gatherings as it will prevent large numbers coming together in airports.,"Unless domestic travel in larger countries is also banned, people will continue to gather in airports.",1
Blocking borders is in accordance with wider recommendations to stop large gatherings as it will prevent large numbers coming together in airports.,Social distancing measures could be put in place at airports to prevent crowding.,1
"Even if social distancing is observed in airports, it is impossible to maintain on the planes themselves.",Social distancing measures could be put in place at airports to prevent crowding.,1
"Even if social distancing is observed in airports, it is impossible to maintain on the planes themselves.",Keeping middle seats empty can reduce exposure to virus particles by up to 57%.,1
"Hong Kong, Taiwan, and Singapore were initially able to contain outbreaks by closing their borders.",That border closures led to the containment of outbreaks in some countries does not entail that they are always successful in doing so.,1
"The number of defectors was at its lowest point in 2020, indicating that neighboring countries such as North Korea can maintain effective border control with China.",Thousands of North Korean defectors move through China each year via its porous land border on their way to South Korea.,1
Reducing transmission is always more beneficial than keeping all pathways open.,Closing borders to highly infectious pathogens will never prevent transmission entirely because all frontiers are somewhat porous.,1
"Even if some people found a way of circumventing the border closures, the number of people traveling would have gone down significantly.","Even if official flights to and from China were banned, people would have found a way to get from one point to another.",1
"Even if some people found a way of circumventing the border closures, the number of people traveling would have gone down significantly.",It only takes one infected person crossing the border to ignite an outbreak in another country.,1
The accuracy of these claims is disputed and case counts are widely believed to be underestimates.,"By 5th March 2020, the number of new confirmed cases in Hubei, excluding Wuhan, remained in single digits for seven consecutive days.",1
"China’s official statistics have been repeatedly revised through the course of the outbreak, casting doubt over the assertion that they are seeing a deceleration of the outbreak.","By the time border closures were seriously being considered, new virus cases had accelerated elsewhere, and the epidemic was slowing down in China. Thus, it would have been redundant to close other countries' borders to China, as the global transmission rate of the virus was clearly no longer linked solely to China.",1
"Early on, there were doubts over whether China had truly contained the virus, and whether there would be a resurgence of cases once quarantine measures ceased.","By the time border closures were seriously being considered, new virus cases had accelerated elsewhere, and the epidemic was slowing down in China. Thus, it would have been redundant to close other countries' borders to China, as the global transmission rate of the virus was clearly no longer linked solely to China.",1
"Closing all countries' borders to China would have not only prevented Chinese travelers from leaving China and entering other countries, but would have also prevented foreign travelers from entering China and potentially re-introducing (more) COVID-19.","By the time border closures were seriously being considered, new virus cases had accelerated elsewhere, and the epidemic was slowing down in China. Thus, it would have been redundant to close other countries' borders to China, as the global transmission rate of the virus was clearly no longer linked solely to China.",1
"Closing all countries' borders to China would have not only prevented Chinese travelers from leaving China and entering other countries, but would have also prevented foreign travelers from entering China and potentially re-introducing (more) COVID-19.",Closing borders may strand travelers in countries that are currently overburdened with COVID-19 cases.,1
"In March 2020, more cases of COVID-19 emerged in China from outside sources. Without closing the borders, China would have risked reinfecting its citizens.",Chinese citizens could have been protected by mandating a quarantine for travelers for 14 days.,1
"Such a policy is likely to place higher demand on a country's already-limited resources, such as accommodation, food, and workers who are trained to carry out the necessary administrative processes.","Countries could still keep their borders open, but enforce 14-day quarantine periods for new arrivals.",1
"Such a policy is likely to place higher demand on a country's already-limited resources, such as accommodation, food, and workers who are trained to carry out the necessary administrative processes.","Arrivals can pay for quarantine facilities themselves, reducing the strain on incoming countries' resources.",1
Not all individuals can afford to pay the steep costs associated with these quarantine facilities.,"Arrivals can pay for quarantine facilities themselves, reducing the strain on incoming countries' resources.",1
"Early in the outbreak, experts were unsure whether the incubation period for the virus was 14 days or 24 days.","Countries could still keep their borders open, but enforce 14-day quarantine periods for new arrivals.",1
Individuals can use the internet to maintain contact with friends and family and mitigate loneliness.,"If someone is forced to stay in a foreign country longer than expected, they may not have access to a robust social network and thus find themselves isolated and lonely.",1
Individuals can use the internet to maintain contact with friends and family and mitigate loneliness.,Many studies have found that connecting via the internet is a poor substitute for in-person relationships.,1
The majority of Chinese students are self-funded and do not rely on paid work to pay for their degrees.,Not being able to go home while paid work is unavailable due to lockdowns can result in financial precarity.,1
"Despite the negative consequences, preventing significant numbers of people from traveling from an infected area to an uninfected area is effective at curbing the pandemic.",Closures can prevent a significant number of people from returning to their homes.,1
"Despite the negative consequences, preventing significant numbers of people from traveling from an infected area to an uninfected area is effective at curbing the pandemic.",It is possible to limit the spread of infections without preventing people from returning home by instituting strict quarantine measures for travelers.,1
"Despite the negative consequences, preventing significant numbers of people from traveling from an infected area to an uninfected area is effective at curbing the pandemic.",Testing on arrival can limit the spread of infections while also allowing people to travel home.,1
Rapid test kits are unreliable at detecting COVID-19 cases.,Testing on arrival can limit the spread of infections while also allowing people to travel home.,1
"Many countries have faced shortages of COVID-19 diagnostic kits, impeding their ability to test all those who have been exposed or shown symptoms.",Testing on arrival can limit the spread of infections while also allowing people to travel home.,1
Most countries have offered visa extensions to travelers who can't return to their home countries.,Closing borders may strand travelers in countries that are currently overburdened with COVID-19 cases.,1
"According to one study, China's decision to lockdown Wuhan slowed down the spread of the virus to neighbouring cities.","By the time border closures were seriously being considered, new virus cases had accelerated elsewhere, and the epidemic was slowing down in China. Thus, it would have been redundant to close other countries' borders to China, as the global transmission rate of the virus was clearly no longer linked solely to China.",1
The virus already having spread beyond China's borders does not negate the point that closing China's borders would have helped contain the virus by reducing the likelihood of further spreading.,"The virus had already spread beyond the borders of China by the time border closings would have taken effect, making it an ineffective policy.",1
The virus already having spread beyond China's borders does not negate the point that closing China's borders would have helped contain the virus by reducing the likelihood of further spreading.,"After a certain threshold, it is too late to impose travel restrictions.",1
"Mexico closed its US land borders to prevent the virus from spreading into the country, as Mexico had a lower rate of infection than the US.","Closing land borders was ineffective at stopping the spread of COVID-19 in Mexico, which has one of the highest case counts in the world.",1
It is possible the pandemic would have been worse if borders remained open.,China and Italy quickly adopted stringent travel regulations but were unable to avert a pandemic.​,1
The travel quarantine imposed in China reduced international importations of infections by nearly 80% until mid-February of 2020.,China and Italy quickly adopted stringent travel regulations but were unable to avert a pandemic.​,1
The purpose of closing borders would be to reduce the spread of the virus globally. Other measures would have to be taken to limit the spread domestically.,"While closing borders may reduce the spread of the virus globally, it may have little effect on a national scale.",1
"China was not being transparent enough with regards to the data they had on COVID-19, making the closure of borders to China the most logical option available to other countries.","It is not transparency that drives countries to close borders, but the awareness of the potential damage of not doing so.",1
"China was not being transparent enough with regards to the data they had on COVID-19, making the closure of borders to China the most logical option available to other countries.",Other countries also have case and/or death figures that are questionable or known to be flawed due to reporting processes.,1
"China was not being transparent enough with regards to the data they had on COVID-19, making the closure of borders to China the most logical option available to other countries.","Even if China withheld data, epidemiologists had sufficient knowledge about coronavirus outbreaks and the steps required to contain their spread.",1
China has not released much of the data regarding its vaccine production.,"This isn't a huge loss, as there were already many alternative vaccines available by the time Sinovac was developed.",1
China has not released much of the data regarding its vaccine production.,"Vaccines weren't being developed until long after the virus had spread beyond China, rendering the point moot as to whether its borders should have been blocked.",1
The Sinovac vaccine has been linked to a number of possible side effects.,The Sinovac vaccine has already been rolled out in multiple countries without widespread reports of serious side effects.,1
"Considering China's considerable manufacturing ability, having a high quality Chinese vaccine might help alleviate the vaccine shortage and supply chain problems in some countries.","This isn't a huge loss, as there were already many alternative vaccines available by the time Sinovac was developed.",1
International organizations and countries have voiced their concerns over China's lack of transparency.,American officials repeatedly made comments praising China's transparency early in the pandemic.,1
International organizations and countries have voiced their concerns over China's lack of transparency.,The WHO repeatedly praised China's transparency early in the pandemic.,1
China has refused to handover data to the WHO team investigating the origin of the COVID-19 pandemic.,"The WHO released a report on March 30, 2021 that sought to explain the origins of the virus in Wuhan, China with Chinese assistance.",1
"The findings of the report were tentative, not conclusive, and some scientists are skeptical about the amount of access the WHO was given by Chinese authorities.","The WHO released a report on March 30, 2021 that sought to explain the origins of the virus in Wuhan, China with Chinese assistance.",1
This early praise was soon reversed as American officials blamed China for failing to stop the spread of the virus.,American officials repeatedly made comments praising China's transparency early in the pandemic.,1
The WHO itself came under intense criticism for their own lack of transparency when discussing the Chinese response.,The WHO repeatedly praised China's transparency early in the pandemic.,1
"Despite public praise for China, many WHO officials privately expressed frustration at the lack of access they were given early in the pandemic.",The WHO repeatedly praised China's transparency early in the pandemic.,1
The Chinese Communist Party has a record of covering up or underreporting the toll of such disasters. It is likely that the situation was far worse than what it appeared to be.,"Given other factors, it is likely that even the Chinese government is itself unsure of the exact number of COVID-19 victims.",1
"The public health crisis caused by the COVID-19 pandemic was posed to undermine the legitimacy of CCP leader, Xi Jinping, in February 2020.",Xi deflected blame for the spread of COVID-19 onto local officials.,1
It is likely that the fear of death would be more significant than the fear of stigma in driving symptomatic people to seek out medical support.,"Because of fears of being isolated or stigmatized, some people showing COVID-19 symptoms are avoiding the medical system. This limits the ability of the government to include them in their quoted statistics.",1
It is likely that the fear of death would be more significant than the fear of stigma in driving symptomatic people to seek out medical support.,Most people who contract COVID-19 exhibit only mild symptoms and aren't at risk of dying.,1
It is likely that the fear of death would be more significant than the fear of stigma in driving symptomatic people to seek out medical support.,"If someone is symptomatic for COVID-19, they may not deem getting tested to confirm their diagnosis as important.",1
"According to a member of the World Health Organisation's emergency committee, during the initial stages of the COVID-19 outbreak, Chinese officials ""tried to keep figures quiet for a while"".","Given other factors, it is likely that even the Chinese government is itself unsure of the exact number of COVID-19 victims.",1
"Transparency plays a key role in such decisions. For example, whether the reported cases by China were 1x or 1/40x the actual number would be likely to influence the policies of other countries, including their policies regarding border control.","It is not transparency that drives countries to close borders, but the awareness of the potential damage of not doing so.",1
"If this is the case, countries should not relax their border control, but should rather block their borders to all non-transparent nations, including China.",Other countries also have case and/or death figures that are questionable or known to be flawed due to reporting processes.,1
There was a lot of uncertainty about COVID-19 at the beginning of the outbreak. Keeping it as isolated as possible would have been the best course of action until more was known.,Isolating the virus to China may have impeded the development of further knowledge surrounding this illness.,1
There was a lot of uncertainty about COVID-19 at the beginning of the outbreak. Keeping it as isolated as possible would have been the best course of action until more was known.,It was impractical to close borders to all countries with COVID-19 cases as the virus spread quickly between countries.,1
There was a lot of uncertainty about COVID-19 at the beginning of the outbreak. Keeping it as isolated as possible would have been the best course of action until more was known.,"The virus had already spread beyond the borders of China by the time border closings would have taken effect, making it an ineffective policy.",1
"The first case of COVID-19 was only reported on 31st December 2019. It was, naturally, something that humans knew very little about, and it took time to collect the data necessary to expand our knowledge on this virus.",The US banned Chinese travellers in February 2020. Experts had sufficient knowledge of the virus by then.,1
