text1,text2,distance
"Masturbation is a way to explore one's body, which every human has a right to do.",There are many activities that bring pleasure to some but are not acceptable.,1
"In this way, the person can later explain/show others that they are involved with and what they enjoy- leading to easier and simpler enjoyment.",The other partner still makes the decision whether or not they want to adopt certain actions; it's likely that some people will not be willing to do so.,1
"In this way, the person can later explain/show others that they are involved with and what they enjoy- leading to easier and simpler enjoyment.",Showing or explaining what one likes to their partner does not guarantee that they will be able to recreate it.,1
Sexual exploration of one's own body is legal.,Legality and acceptability are not mutually exclusive.,1
"Masturbation isn't an inherently harmful or hazardous activity, unlike cutting.",There are many activities that bring pleasure to some but are not acceptable.,1
"Masturbation isn't an inherently harmful or hazardous activity, unlike cutting.",Masturbation can injure you.,1
This can occur with masturbating too much. One can know their limits and masturbate without injury.,"Some forms of masturbation, can lead to irritated and inflamed skin, particularly in the genital area.",1
Anyone who is injured by masturbating is doing it wrong.,Masturbation can injure you.,1
It can be injurious and still provide pleasure.,Masturbation can injure you.,1
"Risk of injure is low, and the consequences is relatively mild, so the pleasure masturbation most often gives you outweighs the risk of injury.",Masturbation can injure you.,1
"Non-injury is not a criterion for an act being acceptable or not, as evidence by a multitude of activities being acceptable despite their potential for injury.",Masturbation can injure you.,1
"There are lots of things that have some negative impacts or risks but still are considered acceptable because they provide pleasure, like bungee jumping.",There are many activities that bring pleasure to some but are not acceptable.,1
Masturbation provides pleasure.,There are many activities that bring pleasure to some but are not acceptable.,1
Masturbation provides pleasure.,Masturbation can injure you.,1
"Just like sex with a partner, a person can experience a pleasurable orgasm.","Real orgasms are just possible with a partner because they also involve feelings, not only physical stimulation.",1
"According to the NHS (England's Health Service), ""An orgasm is a feeling of intense sexual pleasure that happens during sexual activity."" No where does it mention that a partner is needed for this sexual activity. nhs.uk","Real orgasms are just possible with a partner because they also involve feelings, not only physical stimulation.",1
"Masturbation isn't an inherently harmful or hazardous activity, unlike cutting.",There are many activities that bring pleasure to some but are not acceptable.,1
"Masturbation isn't an inherently harmful or hazardous activity, unlike cutting.",Masturbation can injure you.,1
