text1,text2,distance
Sugar is highly addictive.,"Cambridge neuroscientists conducted a study that found while sugar may seem addictive instinctively, the scientific literature is lacking substantial evidence that this is true.",1
Sugar damages your overall health and well-being.,Smoking tobacco causes cancer while no definite link between cancer and sugar exists in humans.,1
Sugar damages your teeth.,Smoking also damages your teeth.,1
"People die of diseases associated with the over-consumption of sugar, such as heart disease and diabetes, too.",Smoking tobacco causes cancer while no definite link between cancer and sugar exists in humans.,1
"People die of diseases associated with the over-consumption of sugar, such as heart disease and diabetes, too.",The key is overconsumption.  People can die of diseases from the overconsumption of most nutrients including fat and protein.,1
Sugar might not create new cancer cells but fructose makes existing cancer cells more dangerous.,Smoking tobacco causes cancer while no definite link between cancer and sugar exists in humans.,1
"Tobacco is perceived as a dirty and viciously harmful product, while sugar poison has a more innocent image.","Increasingly academics, newspapers and people in the public eye  are publicising the negative effects of sugar and calling for it to be regarded as a dangerous and harmful substance.",1
The health effects of tobacco are explicitly stated on the packaging.,The sugar content of any product is also displayed on the packaging.,1
"This makes sugar more addictive and more widespread in use. As such, its effects are felt by even more people, making it more dangerous than tobacco.",Tobacco tastes worse than sugar.,1
The existence of healthy carbohydrates does not mean that all members of this category are healthy.,The elimination of carbohydrates from diet is considered medically dangerous and unhealthy.,1
"Glucose is essential to bodily function; however, the body produces it from almost every food consumed. The reason why carbohydrates are used to treat hypoglycemia is because there is a need to raise blood sugar quickly. In people without hypoglycemia, dietary sugar is not required.",Glucose is a sugar and is essential for the body to function. Carbohydrates are the best nutrient source for glucose hence why diabetics treat hypos through intake of sugars.,1
"There is natural sugar in fruit, meaning there is absolutely no need for refined sugar.",The human body needs sugar to survive while it can avoid tobacco entirely.,1
"Although glucose is a fundamental building block of the human metabolism, fructose is both unnecessary and a chronic toxin.",The human body needs sugar to survive while it can avoid tobacco entirely.,1
"Sugar has been shown to be able to surpass cocaine in addictiveness.""Our findings clearly demonstrate that intense sweetness can surpass cocaine reward.""","Tobacco is more likely to lead on to harder drugs, whereas sugar is not.",1
