text1,text2,distance
Travel bans negatively impact the response to pandemics.,Travel bans allow experts to more reliably monitor the success of different countries' strategies.,1
Travel bans negatively impact the response to pandemics.,"Travel bans ensure no non-essential travel is taking place, ensuring that what travel is happening is available for essential goods and workers.",1
Travel bans could give people a false sense of security.,Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
"Compared to a strict law enforcement approach, the public cooperates better with toned-down enforcement measures such as travel bans, which are essential for managing an outbreak in the longer-run.",Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
Restrictions on the movement of people and goods during public health emergencies can disrupt the supply of medical resources that are important in fighting the pandemic.,Selective travel bans could allow for the free movement of critical goods and personnel such that the fight against the pandemic is not impacted.,1
Travel restrictions make it harder for experts and international aid to reach affected communities.,Exemptions can be drafted into the law to ensure aid can reach the necessary areas.,1
Exemptions can be a vehicle for discrimination.,Exemptions can be drafted into the law to ensure aid can reach the necessary areas.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",The economic consequences of a rise in infections could be far greater than the economic consequences of travel restrictions.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",Instituting travel bans can be a strong measure which reassures the stock market in the face of a pandemic.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",Reducing air travel has long-term positive economic consequences because they aid our fight against climate change.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.","Travel bans are a temporary measure that can quickly be lifted, and thus will have limited economic fallout.",1
Travel bans prevent in-person meetings between business partners which are crucial for trade.,These meetings can be conducted virtually.,1
Travel bans prevent in-person meetings between business partners which are crucial for trade.,Travel bans are temporary; it is possible that business travel resumes once infections are curbed.,1
Travel bans incentivise governments to conceal outbreaks to avoid the potential economic and political costs.,"Taking into account the longer-term economic and political costs of concealing outbreaks, it is never in a government's best interests to conceal outbreaks. This mitigates any short-term incentive to do so.",1
"Given a country's tourism industry would be harmed by a travel ban, the government has an incentive to hide outbreaks to position themselves as safe for travellers.","If tourists are harmed as a result of the government concealing facts from its citizens, the impact on the country's tourism industry will likely be much worse.",1
Governments are often driven by short-term incentives.,"Taking into account the longer-term economic and political costs of concealing outbreaks, it is never in a government's best interests to conceal outbreaks. This mitigates any short-term incentive to do so.",1
"Electoral politics drive short-term thinking and policy-making, as politicians are aware that their immediate actions will be under review by the public (p. 2).",Short-term incentives are not easily disentangled from long-term outcomes since travel bans could help save lives.,1
Travel bans significantly reduce consumer demand for some products and services.,Travel bans only dampen demand temporarily.,1
Travel bans significantly reduce consumer demand for some products and services.,"Lower demand for travel can lead to a drop in prices, making the cost of doing business and transporting goods cheaper. This would, in turn, stimulate consumer demand over a longer term.",1
Some businesses cannot sustain a period of reduced demand for their goods and services.,Travel bans only dampen demand temporarily.,1
"Demand increased for shipping during the Covid-19 pandemic. The shipping industry was unprepared, so did not have sufficient empty containers. As a result, the price of goods actually increased.","Lower demand for travel can lead to a drop in prices, making the cost of doing business and transporting goods cheaper. This would, in turn, stimulate consumer demand over a longer term.",1
Regions that primarily depend on tourism as their source of income will see irreversible economic losses due to travel restrictions.,The economic consequences of a rise in infections could be far greater than the economic consequences of travel restrictions.,1
Travel bans are only a temporary measure instituted to tackle the outbreak of disease on an ad-hoc basis.,Reducing air travel has long-term positive economic consequences because they aid our fight against climate change.,1
"New Zealand is not representative of most countries because it is an island, making it easier to control its borders.",New Zealand was able to rapidly open its economy partly because it successfully contained the pandemic using travel restrictions and other measures.,1
"In practice, travel bans can often last for a long time.","Travel bans are a temporary measure that can quickly be lifted, and thus will have limited economic fallout.",1
"This is a fundamental problem of all research conducted in the real world. There are likely to be many other variables (such as diet, weather etc) that affect the data and cannot be ignored.","Imported cases brought in by travel can have a confounding effect on data, making it difficult to reliably extrapolate results from it.",1
"While travel bans may illuminate the best strategies for dealing with the pandemic, this does not mean that said strategies will be implemented by other countries and regions.",Travel bans allow experts to more reliably monitor the success of different countries' strategies.,1
"While travel bans may illuminate the best strategies for dealing with the pandemic, this does not mean that said strategies will be implemented by other countries and regions.",It may pave the way for countries to implement said strategies in future pandemics.,1
Travel bans misidentify the reasons why viruses spread.,Influenza mainly spreads through day-to-day coughs and sneezes.,1
Travel bans misidentify the reasons why viruses spread.,Travel bans help to stop the spread of mutations of a virus.,1
Travel bans misidentify the reasons why viruses spread.,International air travel contributed significantly to the spread of Covid-19.,1
The spread of some infectious diseases is caused by the risk-taking activities of citizens irrespective of whether there are travel restrictions in place.,Travel bans ensure that the risk-taking behaviour of individuals is confined to just one country.,1
Air travel is no riskier than other means of travel.,"The World Health Organisation (WHO) defines contact with an infected person as being seated within two rows of one another which, it suggests, is no different from taking a train or bus or going to the theatre. However, this risk assessment is flawed.",1
Air travel is no riskier than other means of travel.,"Even if air travel poses no greater relative risk to the travelers, it still contributes to the spread of the virus from one region to another.",1
Robust ventilation systems on aircrafts mean that there is very little risk of communicable diseases being transmitted on board.,"If a plane stops to refuel, the air filtration system would be turned off, and may contribute to the spread of Covid-19 on aircraft.",1
Air travel is now accompanied by a plethora of safety measures to help ensure it is as safe as possible.,"If air travel was truly safe, or as safe as going about one's day normally, then such safety measures would not be necessary.",1
Air travel is now accompanied by a plethora of safety measures to help ensure it is as safe as possible.,Airport screening put in place following the SARS outbreak did not catch a single case.,1
Temperature checks are employed at airports to detect people who may be infected by Covid-19.,Temperature checks may give people a false sense of security about the safety of air travel.,1
"While the researchers considered that the most plausible explanation for the development of SARS in people aboard the flight in the study was that they were infected while on board, they still acknowledged that other explanations were possible.",One study found that WHO's definition for 'contact with an infected person' would have missed 45% of the patients who contracted SARS.,1
There is little evidence to suggest travel bans eliminate the risk of the disease crossing borders in the long term.,The same study found that travel bans may delay the arrival of a virus in a given region by days or even weeks. This could give the region's infrastructure and people vital time to prepare for an oncoming pandemic.,1
There is little evidence to suggest travel bans eliminate the risk of the disease crossing borders in the long term.,Travel bans mitigated the spread of the virus during the Covid-19 pandemic.,1
"Most travel bans focus primarily on air travel, and neglect land and sea crossings, which can be more difficult to police.","Sea crossings, particularly those which are unregulated, may be more difficult to undertake between countries, due to the risk of crossing open water.",1
"Most travel bans focus primarily on air travel, and neglect land and sea crossings, which can be more difficult to police.",That we should also focus on land and sea crossing does not diminish the importance of restricting air travel.,1
Travel bans do not stop people congregating in large groups in their own countries.,"Travel restrictions can prevent a large number of people from being in compact spaces, which can help prevent the spread of influenza through coughs and sneezes.",1
"If people cover their mouths, use tissues, and wash their hands after coughing or sneezing, then they can prevent spreading influenza. Not doing so therefore amounts to unnecessary risk-taking.",Influenza mainly spreads through day-to-day coughs and sneezes.,1
Mutations will continue to evolve and be transmitted with or without travel bans.,Travel bans help to stop the spread of mutations of a virus.,1
"Mutations occur every time a virus replicates, making it a separate issue from travel bans.","If travel bans stem the spread of a virus, then the number of opportunities the virus has to replicate are diminished.",1
"Mutations are not inherently negative, and could help to blunt the spread or damage caused by SARS-CoV-2 virus.",Travel bans help to stop the spread of mutations of a virus.,1
Travel bans are difficult to enforce.,"Following the Covid-19 pandemic, governments have found ways to enforce travel restrictions in an effective way.",1
Travel bans are difficult to enforce.,Travel bans require international coordination which is difficult to achieve.,1
Travel bans are difficult to enforce.,Most people are likely to comply with travel bans.,1
There are legal challenges to enforcing travel bans.,Courts in many countries have upheld the constitutionality of travel bans.,1
Australia's travel ban was legally challenged because some groups held that the state has no power to stop citizens from leaving the country.,"This case was primarily based on not allowing people to leave the country, which is only one aspect of a travel ban. There were no legal challenges brought to other aspects of a travel ban, such as not allowing people into the country.",1
The fact that legal challenges are being brought against travel bans underlines their unpopularity.,"Legal challenges are only brought by a small number of people, and so do not evidence widespread unpopularity.",1
Some countries may not have the resources necessary to institute travel bans.,Countries can share resources to help in effectively instituting travel bans.,1
Some countries may not have the resources necessary to institute travel bans.,Travel bans cannot be uniformly instituted as they are often circumvented by the rich.,1
Strict travel bans would require the mobilization of border officers across land borders.,Countries who share borders can split the responsibility of policing those borders.,1
"Travel bans are a measure which is inherently nationalistic, and so countries are unlikely to support one another in implementing them.",Countries can share resources to help in effectively instituting travel bans.,1
"Since travel bans often need to be instituted swiftly, it is unlikely that poorer countries will have the time to seek assurances from wealthier nations that they will be supported beforehand.",Countries can share resources to help in effectively instituting travel bans.,1
Financial penalties can be circumvented by those with the income to do so.,"In 2021, the UK government introduced strict penalties for those who travelled into the UK from certain countries.",1
"Many governments instituted partial travel bans, which only targeted certain countries.","Following the Covid-19 pandemic, governments have found ways to enforce travel restrictions in an effective way.",1
"Many governments instituted partial travel bans, which only targeted certain countries.",Partial travel bans are an effective strategy for governments whose resources are stretched thin.,1
"Countries who otherwise do not get on have historically put their differences aside to tackle diseases, such as the international effort to eradicate smallpox during the Cold War.","Certain countries may not have positive relationships, which can complicate international coordination.",1
"There are many international bodies, such as the WHO and the UN, that can facilitate efforts to ensure international coordination.",Travel bans require international coordination which is difficult to achieve.,1
"Airlines are offering increased flexibility to allow people to easily cancel travel plans, without incurring any additional costs.",Travel bans give people the financial confidence to cancel their travel plans because they are then usually covered by insurance. This is strong incentive for many travellers to comply with travel bans.,1
"Covid-19 may be considered an 'act of God', allowing companies to ignore their contractual obligations to consumers.",Travel bans give people the financial confidence to cancel their travel plans because they are then usually covered by insurance. This is strong incentive for many travellers to comply with travel bans.,1
"Covid-19 may be considered an 'act of God', allowing companies to ignore their contractual obligations to consumers.","Force majeure, or 'act of God' clauses, will often give rise to a situation where the service provider will have to return any money paid in advance for a service, since the service won't be carried out.",1
People can find ways to circumvent travel bans.,Most people are likely to comply with travel bans.,1
People can find ways to circumvent travel bans.,"Even if people circumvent travel restrictions, as long as these restrictions reduce the number of visitors, they would help in reducing the spread of infections.",1
People can easily circumvent certain travel restrictions by taking indirect routes.,"If many countries adopt travel bans, then this makes it more difficult for people to take indirect routes.",1
People can easily circumvent certain travel restrictions by taking indirect routes.,There are barriers to taking indirect routes.,1
"Unless travel is completely restricted, there will always be a chance that those who do travel bring the disease with them.","Even if people circumvent travel restrictions, as long as these restrictions reduce the number of visitors, they would help in reducing the spread of infections.",1
"Unless travel is completely restricted, there will always be a chance that those who do travel bring the disease with them.","Regardless, travel bans reduce the number of potential carriers of a disease.",1
"3-4 months is still not long enough because it takes months or even years to bring a vaccine to market, as was the case with the Covid-19 vaccine.",Wide-ranging international air travel restrictions could delay the spread of a pandemic by 3–4 months.,1
The time-saving benefits of tight international travel restrictions are rendered irrelevant by the fact that extra time only reduces the magnitude of pandemics by 0.02%.,Extensive international air travel restrictions can significantly delay pandemics.,1
Travel restrictions delay the spread of infections by only a few weeks.,Extensive international air travel restrictions can significantly delay pandemics.,1
Travel restrictions delay the spread of infections by only a few weeks.,A few weeks can provide time for public health systems to gather the required medical resources.,1
It is possible to limit travel-related spread of infections through robust testing and tracing mechanisms.,Extensive international air travel restrictions can significantly delay pandemics.,1
It is possible to limit travel-related spread of infections through robust testing and tracing mechanisms.,There are reports of importation of infections despite negative testing prior to boarding.,1
Alternative measures that are less disruptive can also encourage people to take preventative measures.,Travel bans can emphasise the seriousness of a public health crisis and encourage populations to take preventative measures in their daily life.,1
Alternative measures that are less disruptive can also encourage people to take preventative measures.,Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
Television and social media advertisements can be used to encourage people to take preventative measures.,There is a lot of misinformation on social media platform that may confuse people.,1
"Compared to a strict law enforcement approach, the public cooperates better with toned-down enforcement measures such as travel bans, which are essential for managing an outbreak in the longer-run.",Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
Travel bans could give people a false sense of security.,Travel bans can emphasise the seriousness of a public health crisis and encourage populations to take preventative measures in their daily life.,1
Travel bans could give people a false sense of security.,Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
"Compared to a strict law enforcement approach, the public cooperates better with toned-down enforcement measures such as travel bans, which are essential for managing an outbreak in the longer-run.",Travel bans are a significant measure which serve to highlight to people the severity of the pandemic more than any other measure could.,1
Travel bans are not effective in flattening the infection curve when epidemics are close to tipping points for exponential growth.,Flattening the curve of infections gives time for governments to prepare. This is critical in reducing mortality.,1
"Owing to a highly mobile population, travel bans put in place after an outbreak come too late to stop the virus from spreading.",Travel restrictions can flatten the curve of infections.,1
Other measures are more effective in flattening the curve of infections.,Travel restrictions can flatten the curve of infections.,1
Other measures are more effective in flattening the curve of infections.,Other measures can be instituted in tandem with travel bans.,1
Other measures are more effective in flattening the curve of infections.,Travel restrictions are a more effective way to prevent importing infections than to institute other measures that are more wide-ranging and expensive.,1
It is possible to limit travel-related spread of infections through robust testing and tracing mechanisms.,There are reports of importation of infections despite negative testing prior to boarding.,1
Travel bans are sometimes ineffective in reducing or flattening the curve of infections.,Travel restrictions can flatten the curve of infections.,1
Travel bans are sometimes ineffective in reducing or flattening the curve of infections.,That some instances of travel restriction were inconsequential does not entail that they are always ineffective in flattening the curve of infections.,1
Travel bans are sometimes ineffective in reducing or flattening the curve of infections.,Travel restrictions have been effective in flattening the curve of infections during the Covid-19 pandemic.,1
"A 2011 study of the 2009 H1N1 pandemic found that ""no containment was achieved"" by travel restrictions.",Border closures were effective in protecting some farming villages during the Spanish Influenza.,1
The US ban of Chinese travellers was not effective in preventing the spread of Covid-19 infections.,Travel restrictions have been effective in flattening the curve of infections during the Covid-19 pandemic.,1
The US ban of Chinese travellers was not effective in preventing the spread of Covid-19 infections.,"The US travel ban was ineffective because of the way it was carried out. This does not entail that travel bans, in principle, are ineffective.",1
It is unclear if lessons from one infectious disease outbreak are relevant in the context of other diseases.,Travel restrictions have been effective in flattening the curve of infections during the Covid-19 pandemic.,1
"Travel bans only flatten the curve of Covid-19 infections when instituted early during the pandemic. Eventually, only measures such as testing, social distancing and isolating help in flattening the curve of infections.",Travel restrictions have been effective in flattening the curve of infections during the Covid-19 pandemic.,1
"If the virus has spread to a location where there is no travel ban, carriers who are yet to show symptoms may continue to spread the infection.",Travel restrictions can flatten the curve of infections.,1
"If the virus has spread to a location where there is no travel ban, carriers who are yet to show symptoms may continue to spread the infection.",A travel ban can help reduce the likelihood that a virus will spread to a new location in the first place.,1
Travel bans have only been very effective at curbing the spread of the Covid-19 in small island nations.,Travel restrictions can flatten the curve of infections.,1
"The researchers did not consider data from influenza viruses in this study because ""travel bans have already been shown to be ineffective in the long term"" for these.",A study in February 2020 showed that the effectiveness of travel bans in reducing the spread of infectious disease is unknown.,1
"The researchers did not consider data from influenza viruses in this study because ""travel bans have already been shown to be ineffective in the long term"" for these.",It is unclear with what reliability the researchers can conclude this about all influenza viruses because some - such as SARS-CoV-2 - are caused by novel diseases - like Covid-19 - that may behave differently.,1
"The infection mortality rate of Covid-19 is only 1.4%, as of May 2021.",The cost of mortality and morbidity due to Covid-19 infections justifies being cautionary rather than waiting for conclusive evidence.,1
"The infection mortality rate of Covid-19 is only 1.4%, as of May 2021.","Over 3.35 million people have died of Covid-19 as of May 2021, which is a significant number that warrants cautiousness.",1
"There are many causes of death which, in an average year, kill more people than Covid-19 has.","Very few of these causes of death, like heart disease and cancer, are transmissible, and so are incomparable to Covid-19.",1
"Something should not be pursued without sufficient evidence to back it up. Otherwise, any speculative theory could become the basis of action, even if it is ineffective or leads to problematic outcomes.","As long as evidence relating to the effectiveness of travel bans is inconclusive, it is best to err on the side of caution by imposing them anyway.",1
"Something should not be pursued without sufficient evidence to back it up. Otherwise, any speculative theory could become the basis of action, even if it is ineffective or leads to problematic outcomes.","While the evidence is not yet conclusive, neither is it entirely speculative.",1
"Something should not be pursued without sufficient evidence to back it up. Otherwise, any speculative theory could become the basis of action, even if it is ineffective or leads to problematic outcomes.",There is evidence that travel restrictions have been effective in controlling the spread of some viral diseases.,1
The economic costs of travel bans are such that pursuing them without sufficient evidence of their efficacy would be an irresponsible decision.,"The economic cost of not instituting travel bans must also be weighed up, and would suggest erring on the side of caution.",1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",The economic consequences of a rise in infections could be far greater than the economic consequences of travel restrictions.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",Instituting travel bans can be a strong measure which reassures the stock market in the face of a pandemic.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.",Reducing air travel has long-term positive economic consequences because they aid our fight against climate change.,1
"Travel bans have harmful economic consequences, which can further cause long-term harms and hamper a country's ability to recover from a pandemic.","Travel bans are a temporary measure that can quickly be lifted, and thus will have limited economic fallout.",1
Travel bans prevent in-person meetings between business partners which are crucial for trade.,These meetings can be conducted virtually.,1
Travel bans prevent in-person meetings between business partners which are crucial for trade.,Travel bans are temporary; it is possible that business travel resumes once infections are curbed.,1
Travel bans incentivise governments to conceal outbreaks to avoid the potential economic and political costs.,"Taking into account the longer-term economic and political costs of concealing outbreaks, it is never in a government's best interests to conceal outbreaks. This mitigates any short-term incentive to do so.",1
"Given a country's tourism industry would be harmed by a travel ban, the government has an incentive to hide outbreaks to position themselves as safe for travellers.","If tourists are harmed as a result of the government concealing facts from its citizens, the impact on the country's tourism industry will likely be much worse.",1
Governments are often driven by short-term incentives.,"Taking into account the longer-term economic and political costs of concealing outbreaks, it is never in a government's best interests to conceal outbreaks. This mitigates any short-term incentive to do so.",1
"Electoral politics drive short-term thinking and policy-making, as politicians are aware that their immediate actions will be under review by the public (p. 2).",Short-term incentives are not easily disentangled from long-term outcomes since travel bans could help save lives.,1
Travel bans significantly reduce consumer demand for some products and services.,Travel bans only dampen demand temporarily.,1
Travel bans significantly reduce consumer demand for some products and services.,"Lower demand for travel can lead to a drop in prices, making the cost of doing business and transporting goods cheaper. This would, in turn, stimulate consumer demand over a longer term.",1
Some businesses cannot sustain a period of reduced demand for their goods and services.,Travel bans only dampen demand temporarily.,1
"Demand increased for shipping during the Covid-19 pandemic. The shipping industry was unprepared, so did not have sufficient empty containers. As a result, the price of goods actually increased.","Lower demand for travel can lead to a drop in prices, making the cost of doing business and transporting goods cheaper. This would, in turn, stimulate consumer demand over a longer term.",1
Regions that primarily depend on tourism as their source of income will see irreversible economic losses due to travel restrictions.,The economic consequences of a rise in infections could be far greater than the economic consequences of travel restrictions.,1
Travel bans are only a temporary measure instituted to tackle the outbreak of disease on an ad-hoc basis.,Reducing air travel has long-term positive economic consequences because they aid our fight against climate change.,1
"New Zealand is not representative of most countries because it is an island, making it easier to control its borders.",New Zealand was able to rapidly open its economy partly because it successfully contained the pandemic using travel restrictions and other measures.,1
"In practice, travel bans can often last for a long time.","Travel bans are a temporary measure that can quickly be lifted, and thus will have limited economic fallout.",1
Regions that primarily depend on tourism as their source of income will see irreversible economic losses due to travel restrictions.,The economic consequences of a rise in infections could be far greater than the economic consequences of travel restrictions.,1
"If travel restrictions on sick people are effective enough at stopping infectious influenza, then blanket travel bans are disproportionate.",Travel restrictions imposed on sick people are effective. It logically follows that blanket travel bans would be at least as effective.,1
"In the 1980s, travel bans on those with HIV/AIDS did not stop it spreading.",Travel restrictions imposed on sick people are effective. It logically follows that blanket travel bans would be at least as effective.,1
"In the 1980s, travel bans on those with HIV/AIDS did not stop it spreading.","HIV is usually spread by sexual contact or the sharing of needles while influenza is usually spread by people coughing or sneezing. Thus, the fact that travel restrictions did not work in preventing the spread of one, does not necessarily mean the result will be the same for the other.",1
Travel bans could infringe on people's rights and so should not be instituted without solid evidence.,"As long as evidence relating to the effectiveness of travel bans is inconclusive, it is best to err on the side of caution by imposing them anyway.",1
