text1,text2,ZS response
A water tax incentivizes being more efficient with water.,"This only incentivizes the poor to be efficient, those with overly expendable incomes will still continue to squander resources, tax or not.",
A water tax incentivizes being more efficient with water.,This may have the impact of making individuals ration water to dangerous levels.,
A water tax incentivizes being more efficient with water.,Water is an abundant resource and does not need to be protected with taxes.,
"Corporations always attempt to minimise their tax burden, which would likely lead them to decrease their use of water.","Often, corporations don't do the right thing to minimise their burdens, such as by abusing tax write-offs.",
"Filtering water is expensive, and therefore taxing it encourages prudence and results in overall public cost savings.","The government could use taxes collected through other means (e.g., income tax, sales tax) to provide clean water.",
"Since water is an absolute necessity, it is unlikely that people will decrease their consumption.",This may have the impact of making individuals ration water to dangerous levels.,
"Since water is an absolute necessity, it is unlikely that people will decrease their consumption.","Financial strains tend to show that people are likely to neglect their bodies, and poorer people may be forced to decrease their consumption just because water was too expensive.",
The tax can be calculated so as to allow the average citizen to afford the necessary amount of water.,This may have the impact of making individuals ration water to dangerous levels.,
The tax can be calculated so as to allow the average citizen to afford the necessary amount of water.,"Even without taxes, many people cannot afford clean water.",
The water that is actually usable is in limited quantity and therefore needs to be preserved.,Water is an abundant resource and does not need to be protected with taxes.,
Taxing water would provide revenue to preserve and improve the quality and safety of water.,People will drink unhealthy drinks instead of water because of the prices are high.,
Taxing water would provide revenue to preserve and improve the quality and safety of water.,It is possible that the revenue would not be spent on improvements due to governments' record of mismanaging funds.,
A water tax could be used to improve water treatment systems.,Other taxes can be used to improve these systems.,
A water tax can be used to help protect water bodies.,The government should invest in better water recycling systems.,
A water tax can be used to help protect water bodies.,Environment should be protected by applying pollution taxes to businesses not water taxes to citizens.,
This can be mitigated by consuming the zero-sugar alternatives that are available on the market.,Consuming sugary drinks regularly causes a 26% greater risk of developing type 2 diabetes.,
"As most other drinks are composed mostly of water, the price of those drinks would also be affected by a water tax.",People will drink unhealthy drinks instead of water because of the prices are high.,
This can be prevented with policy instruments that ensure that taxes from water are directly funnelled into improvement projects.,It is possible that the revenue would not be spent on improvements due to governments' record of mismanaging funds.,
"Food is a necessity just as water is, yet food is taxed; for consistency's sake, water should also be taxed.",The human body needs water to survive,
"Food is a necessity just as water is, yet food is taxed; for consistency's sake, water should also be taxed.","Water is different from food; water is a human right and has more importance. Also, without water, you can only survive for 3 to 4 days, while you can survive for about 3 weeks without food.",
"Food is a necessity just as water is, yet food is taxed; for consistency's sake, water should also be taxed.","Consistency should not be an excuse to tax a product, especially if it is for something that is vital to one's health.",
"Even though some countries are working towards reducing the taxes on fruits and vegetables, they are still taxed.",Tax reductions show that they aren't as beneficial for these products.,
"Work is recognized as a right, yet the fruits of one's labors are still taxed.","Access to water is a universal right, it can't, therefore, be taxed.",
"In the United States, access to water is not granted as a right in either the Constitution or the Bill of Rights.","Water is a fundamental human need, and therefore its accessibility should not be hindered in any way.",
"In the United States, access to water is not granted as a right in either the Constitution or the Bill of Rights.","The Bill of Rights and US Constitution are quite old documents made when water access was not as complex as it is today; thus, they were not implemented.",
"These documents can also be amended, and yet no amendment has even been proposed on water as a right.","The Bill of Rights and US Constitution are quite old documents made when water access was not as complex as it is today; thus, they were not implemented.",
"These documents can also be amended, and yet no amendment has even been proposed on water as a right.","Current US legislation is made progressively less with its citizens in mind; thus, it would not grant these rights, especially when major water consumers such as Nestle hold massive control over these supplies.",
A tax could be designed so that it only applies to corporations and wealthy individuals.,Taxing water would make it unaffordable for many people.,
A tax could be designed so that it only applies to corporations and wealthy individuals.,"As seen with previous legislation, this may fall through and harm the consumer later on, be it through accidental loopholes or corporations backing legislation.",
This can be mitigated if bulk water usage (like that used via a corporation) is taxed.,"In a capitalist economy, this will just force the consumer to pay more so the company can make the same, if not more, money.",
The additional cost of water in the manufacturing process can be offset by subsidies.,Water is used in large quantities in the manufacturing process.,
The additional cost of water in the manufacturing process can be offset by subsidies.,It would be impractical to create taxes and then create subsidies to negate them.,
Some of the water used in production is wasted. Taxing water would push companies to be more efficient.,Water is used in large quantities in the manufacturing process.,
Some of the water used in production is wasted. Taxing water would push companies to be more efficient.,It may not be the correct kind of nudge. A company could just see it as a cost of doing business and cut other things before recycling water.,
Some of the water used in production is wasted. Taxing water would push companies to be more efficient.,"This would also require passing legislation to ensure safety standards for recycling industrial waste water. If it is not adequately accomplished, it could harm public supplies of potable water.",
The tax could also limit the production of products that are harmful to the environment due to their water consumption.,Water is used in large quantities in the manufacturing process.,
The tax could also limit the production of products that are harmful to the environment due to their water consumption.,"This may not do much of the intended impact towards companies who consume massive amounts of water, potentially even increasing the price of bottled water, which many communities are heavily reliant upon.",
The tax could also limit the production of products that are harmful to the environment due to their water consumption.,"The limitation of production won't provide enough of a net-positive impact. If less produce is being grown, prices will skyrocket and fewer people will gain access to these products.",
Taxing water would help fund important public projects.,Placing a tax on water would negatively affect businesses and the economy.,
Taxing water would help fund important public projects.,Governments can focus on maximising existing taxes before implementing new ones.,
Taxing water would help fund important public projects.,Making water accessible is one of the most common public projects in many communities.,
"Because water is so widely used, placing a small tax on it would provide substantial revenue.",Placing the tax on water might not provide such revenue if the tax reduces usage.,
Most governments face budget deficits that taxing water can fix.,"Many deficits come from the inefficient use of budgets. For example, the United States spends almost one trillion dollars on defense, and even a sliver of this budget could help pay for plenty of programs.",
It is not impossible for governments to institute new measures to be more efficient with taxes as they introduce new ones.,Governments can focus on maximising existing taxes before implementing new ones.,
HPV is a harmful virus.,"In most cases, HPV goes away on its own and does not cause any health problems.",
HPV is a harmful virus.,There are many vaccinations for harmful/deadly viruses that are not provided for free. Doing so for HPV is not necessary.,
HPV is a harmful virus.,HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"By the same logic, we should not require/ encourage people to wear seat belts or purchase collision insurance, since most trips by auto do not result in a collision.","In most cases, HPV goes away on its own and does not cause any health problems.",
Providing free vaccination for one harmful virus is better than providing no vaccination at all. Increasing the scope of this policy could be a future consideration.,It would not make sense to provide free vaccination for one harmful virus and not all.,
"Each vaccine must be evaluated separately based on disease burden, vaccine efficacy, vaccine effects, and the logistical considerations (including cost) of widespread immunization policies.",It would not make sense to provide free vaccination for one harmful virus and not all.,
Many countries offer readily available vaccinations for harmful viruses for free.,There are many vaccinations for harmful/deadly viruses that are not provided for free. Doing so for HPV is not necessary.,
"In the UK, vaccinations such as the 6-in-1 vaccine and PCV vaccine are administered free of charge.",The UK has a universal healthcare system in place that many countries do not. This makes it easier to offer free vaccines.,
"In Germany, vaccinations for adults are covered by insurance. Vaccinations for children are free.","Germany has an established public health care system that can more readily cover the cost of free vaccines. Many countries, like the US, do not.",
Sixty-nine NCI-Designated Cancer Centers stated the low rates of people vaccinating against HPV is a 'serious public health threat.'.,The World Health Organization has prioritized several diseases and viruses that have the potential to be a public health emergency. HPV is not one of them.,
"HPV is one of the leading causes of cervical cancer, which is the 4th most common cancers for women. If everyone received an effective vaccine for HPV we could eliminate hundreds of thousands, perhaps millions of cases of cervical cancer every year.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"Of over 369 million Americans, 79 million are infected with HPV. This is a substantial amount of the population.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"If it is not as pervasive an issue, it will require fewer funds.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"If it is not as pervasive an issue, it will require fewer funds.","Vaccinating everyone will require the same amount of resources, regardless of the percentage of the population that are at risk. Even if HPV is not a ""big issue"" a universal vaccination strategy will be expensive.",
Implementing a comprehensive HPV vaccination program was found to be cost-effective and an economically sound decision (p. 13).,HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
It will benefit the poor disproportionately.,"Some poor communities have less access to HPV vaccination protocols, even when available for free.",
It will benefit the poor disproportionately.,"This indicates a need for poorer communities to receive the vaccine for free, not everyone.",
The cost of a HPV vaccination series is between $130 - $170 per injection. Poorer families may not be able to afford this.,Low-income US residence receiving Medicaid have access to the vaccination.,
The cost of a HPV vaccination series is between $130 - $170 per injection. Poorer families may not be able to afford this.,There already low cost options for lower income individuals.,
Offering a free vaccine is much more beneficial to low income families than paying a lower price.,There already low cost options for lower income individuals.,
"Authorities can put more effort into making sure poor communities have better access, but they will still be needed for free.","Some poor communities have less access to HPV vaccination protocols, even when available for free.",
Providing it for free to everyone would prevent fraudulent administration.,"This indicates a need for poorer communities to receive the vaccine for free, not everyone.",
It will increase awareness of the vaccine.,"Making the vaccine free, per se, is unlikely to increase awareness. Awareness would be increased by commercial advertising, which would be expected if a company stood to profit from increased uptake of the vaccine, or by making the vaccine mandatory (which it already is in most U.S. states); thus confronting each patient/ parent with a necessary discussion and decision about the vaccine.",
It will increase awareness of the vaccine.,"Awareness increases with proper advertising and education, which leads to more people receiving the vaccination. Not the other way around.",
"HPV vaccines became available in 2006, but awareness of this vaccine did not become common knowledge until 2010s.","Awareness spread as continued talks regarding the affects of HPV increased, not because of free access.",
"HPV vaccines became available in 2006, but awareness of this vaccine did not become common knowledge until 2010s.",It was approved for males in 2009. This may have influenced the increase in HPV awareness.,
It will encourage men to receive it.,"This assumes that cost is a primary reason for males not getting the vaccine, when it may be that it has largely been advertised as a women's vaccine, until recently.",
It will encourage men to receive it.,College men are not as aware of their personal health risks. Free vaccinations will not address this issue.,
"If HPV vaccines are already affordable in the private sector, it should be easy for the government to provide them.","HPV vaccines are fairly affordable, starting from $30.",
A substantial amount of US citizens do not have health insurance.,"In the U.S., HPV is already covered by most major insurance companies, Medicaid, and the Vaccines for Children (VFC) program.",
"While campaigns of awareness can be promoted to remedy that, having the vaccine be free and accessible can also help.",The cost of the vaccine is not the major determinant of most HPV vaccine refusal.,
"Men are traditionally not given the vaccines as often. For example, UK's NHS covered the vaccine for girls but only started to do so for boys in July 2018.","This assumes that cost is a primary reason for males not getting the vaccine, when it may be that it has largely been advertised as a women's vaccine, until recently.",
Some campus-wide initiatives may bring the awareness necessary for men to acknowledge their risk.,College men are not as aware of their personal health risks. Free vaccinations will not address this issue.,
"Since it is so easy and prevalent to get HPV, it should be made easy to get the vaccine as well.",With proper care and protection you can reduce the risk of getting the disease.,
Many places offer free flu vaccinations due to its prevalence and easy contraction. The same can be available for HPV.,"Per year, the flu has the ability to spread, affect and kill more people than HPV.",
"This is a first-world-centric comparison, because the death rate from cervical cancer in the U.S. is affected by access to cervical cancer screening (Pap smears) and intervention for early, pre-cancerous lesions. The death rate worldwide is very comparable for the two conditions: 266.000 deaths annually from cervical cancer, and ""290 to 650,000"" deaths annually from flu.","In comparison, approximately 44,000 new cases of HPV-related cancers were diagnosed in the US between 2012 and 2016",
"There is no cure for HPV, which makes it all the more important for people to get vaccinated before contracting the disease.","There are many diseases, like polio, that do not have a cure and yet the vaccines are not provided for free.",
The HPV vaccine is effective.,"All vaccines are made available to the public only after they have been found to be effective, yet this is not a justification to provide vaccines for free. If it were, all vaccines would need to be provided for free to everyone.",
The HPV vaccine is effective at reducing the incidence of infection.,Many other effective vaccines are not provided for free.,
"The Government could cut certain types of spending (Military, ETC.) and use the saved money on healthcare, including vaccinations.","For example, free pediatric vaccines are federally funded for the most part. For everyone to receive yet another free vaccine, the burden would have to be on taxpayers.",
"There tends to be an aversion to using condoms among men, who are especially not incentivized to use them since women are at greater risk of contracting HPV.","Engaging in protected sex, such as using condoms, can reduce the risk of contracting HPV.",
"There tends to be an aversion to using condoms among men, who are especially not incentivized to use them since women are at greater risk of contracting HPV.",Women can opt to use female condoms.,
"HPV can be transmitted during sex, even if condoms are used, since HPV may infect areas that are not covered by the condom. https://www.cdc.gov/std/hpv/stdfact-hpv.htm","Engaging in protected sex, such as using condoms, can reduce the risk of contracting HPV.",
"Despite recommendations for safer sex for the past several decades, the introduction of the HPV vaccine has significantly decreased the transmission of the covered strains, and the incidence of cervical dysplasia in women. Thus ""safe sex"" is not a comparable substitute for vaccinating. https://www.cdc.gov/vaccines/vpd/hpv/hcp/safety-effectiveness.html","Engaging in protected sex, such as using condoms, can reduce the risk of contracting HPV.",
"HPV can be transmitted by skin-to-skin contact, as with wrestling and other sports https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3752190/",It is unfair to make everyone bear the cost of vaccine provision when the disease can easily be avoided by people.,
"HPV can be transmitted during sex, even if condoms are used, since HPV may infect areas that are not covered by the condom. https://www.cdc.gov/std/hpv/stdfact-hpv.htm",It is unfair to make everyone bear the cost of vaccine provision when the disease can easily be avoided by people.,
"Newborns can contract HPV during the delivery process. Since it is unavoidable in these cases, the vaccination should be made available to women of childbearing age.",It is unfair to make everyone bear the cost of vaccine provision when the disease can easily be avoided by people.,
"Newborns can contract HPV during the delivery process. Since it is unavoidable in these cases, the vaccination should be made available to women of childbearing age.","Even though a newborn would not be able to be proactive, it would still be unavoidable if more people in general (which may include the mother) were proactive, which would protect those who can't control contracting it from getting it.",
Sixty-nine NCI-Designated Cancer Centers stated the low rates of people vaccinating against HPV is a 'serious public health threat.'.,The World Health Organization has prioritized several diseases and viruses that have the potential to be a public health emergency. HPV is not one of them.,
"HPV is one of the leading causes of cervical cancer, which is the 4th most common cancers for women. If everyone received an effective vaccine for HPV we could eliminate hundreds of thousands, perhaps millions of cases of cervical cancer every year.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"Of over 369 million Americans, 79 million are infected with HPV. This is a substantial amount of the population.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"If it is not as pervasive an issue, it will require fewer funds.",HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
"If it is not as pervasive an issue, it will require fewer funds.","Vaccinating everyone will require the same amount of resources, regardless of the percentage of the population that are at risk. Even if HPV is not a ""big issue"" a universal vaccination strategy will be expensive.",
Implementing a comprehensive HPV vaccination program was found to be cost-effective and an economically sound decision (p. 13).,HPV is not a big enough issue to expend public resources in order to increase uptake of the vaccine.,
Governments have various means to push the price of HPV vaccines to near the costs of their production and to reduce the cost of their production. This could enable these costs to be very low.,There will be a large cost to the government.,
"Providing preventive care, such as vaccines to avoid diseases, can reduce the overall costs incurred by healthcare systems.",There will be a large cost to the government.,
Cervical cancer from HPV is still prevalent in less developed countries. The vaccine is still needed in these areas.,"A recent US study shows that with current rates of vaccination, there is a decline in disease seen in the unvaccinated population, due to herd immunity.",
"There is a very large portion of the population that does not receive the vaccination, which translates to millions of people living in the United States.",Enough people already receive it.,
"There is a very large portion of the population that does not receive the vaccination, which translates to millions of people living in the United States.",The cost of the vaccine is not the major determinant of most HPV vaccine refusal.,
"If HPV vaccines are already affordable in the private sector, it should be easy for the government to provide them.","HPV vaccines are fairly affordable, starting from $30.",
A substantial amount of US citizens do not have health insurance.,"In the U.S., HPV is already covered by most major insurance companies, Medicaid, and the Vaccines for Children (VFC) program.",
"While campaigns of awareness can be promoted to remedy that, having the vaccine be free and accessible can also help.",The cost of the vaccine is not the major determinant of most HPV vaccine refusal.,
"There are 527,000 new cases of cervical cancer a year, with HPV being a major cause. This means many people are not receiving the vaccine, which can prevent such occurrence.HPV and Related Diseases Report",Enough people already receive it.,
"There are 527,000 new cases of cervical cancer a year, with HPV being a major cause. This means many people are not receiving the vaccine, which can prevent such occurrence.HPV and Related Diseases Report","The current incidence of cervical cancer is not reflective of the efficacy, or even the uptake, of the HPV vaccine, which has only been on the market for 12 years. The estimated time from infection with HPV to development of cervical cancer is over 20 years.",
"The people who can pay for it receive it. Those who cannot are still left without it and therefore, it makes sense to provide it for people in this group.",Enough people already receive it.,
"The people who can pay for it receive it. Those who cannot are still left without it and therefore, it makes sense to provide it for people in this group.",The cost of the vaccine is not the major determinant of most HPV vaccine refusal.,
"If HPV vaccines are already affordable in the private sector, it should be easy for the government to provide them.","HPV vaccines are fairly affordable, starting from $30.",
A substantial amount of US citizens do not have health insurance.,"In the U.S., HPV is already covered by most major insurance companies, Medicaid, and the Vaccines for Children (VFC) program.",
"While campaigns of awareness can be promoted to remedy that, having the vaccine be free and accessible can also help.",The cost of the vaccine is not the major determinant of most HPV vaccine refusal.,
Enough people have not received it if there are still groups of the population at-risk or being infected.,Enough people already receive it.,
"People who get the vaccine are being proactive in their health to get it, so getting a vaccine may actually increase their motivation to continue it to other health measures.","If the vaccine is free, people will have little/no incentive to practice good health habits outside of it.",
Not getting a vaccine doesn't guarantee that people would automatically start thinking about practicing good health habits outside of it.,"If the vaccine is free, people will have little/no incentive to practice good health habits outside of it.",
A free vaccine would allow people to be able to spend their money on other healthy behaviors (especially ones they're encouraged to do) that they wouldn't be able to if the vaccine costs money.,"If the vaccine is free, people will have little/no incentive to practice good health habits outside of it.",
HPV is very prevalent in society and difficult to avoid. About 75% of all Americans have been exposed to HPV.,"People should be taught to be more proactive in health by avoiding HPV risks overall, rather than getting a vaccine.",
"Education on HPV can coincide with providing the vaccine, for those most at risk.","People should be taught to be more proactive in health by avoiding HPV risks overall, rather than getting a vaccine.",
"People should be taught to be proactive, but being proactive does not exclude getting vaccinated.","People should be taught to be more proactive in health by avoiding HPV risks overall, rather than getting a vaccine.",
"Newborns can contract HPV during the delivery process. Since it is unavoidable in these cases, the vaccination should be made available to women of childbearing age.","People should be taught to be more proactive in health by avoiding HPV risks overall, rather than getting a vaccine.",
"Newborns can contract HPV during the delivery process. Since it is unavoidable in these cases, the vaccination should be made available to women of childbearing age.","Even though a newborn would not be able to be proactive, it would still be unavoidable if more people in general (which may include the mother) were proactive, which would protect those who can't control contracting it from getting it.",
