text1,text2,ZS response,final_val
Lockdowns cause suffering and hardship to people due to the economic impacts they have.,"Lockdown is the only way we can flatten the curve. If more and more people keep interacting, then this will result in increased rate of infections.",Divergent,Divergent
Lockdowns cause suffering and hardship to people due to the economic impacts they have.,A failure to lockdown can also have economic consequences.,Not Divergent,Not Divergent
Lockdowns cause suffering and hardship to people due to the economic impacts they have.,Lockdowns have changed the ways workers and companies conduct their business.,Not Divergent,Not Divergent
Lockdowns increase inequalities.,Lockdowns don't increase inequalities per se as the problem comes from poor social protection from governments to vulnerable communities.,Divergent,Divergent
The lockdown has placed millions at risk from hunger.,Governments have introduced stimulus packages to ensure that their citizens are not at risk due to hunger amid the lockdown.,Not Divergent,Not Divergent
Groups that are not eligible for stimulus checks will be worse off during the lockdown.,Governments have introduced stimulus packages to ensure that their citizens are not at risk due to hunger amid the lockdown.,Not Divergent,Not Divergent
"Many governments of developing countries have not been able to adequately provide for the poor in their countries, leaving them vulnerable to food and shelter-insecurity.",Governments have introduced stimulus packages to ensure that their citizens are not at risk due to hunger amid the lockdown.,Divergent,Divergent
"Many governments of developing countries have not been able to adequately provide for the poor in their countries, leaving them vulnerable to food and shelter-insecurity.","Where governments have not been able to provide for their people, international organizations have stepped up to offer relief.",Not Divergent,Not Divergent
Countries whose economies rely on tourism will suffer greatly under lockdowns.,Losing jobs won't matter if everyone gets infected and dies. Health before jobs is for the sustainability of a nation.,Divergent,Divergent
"The lockdown has resulted in mass unemployment, due to which many people are left destitute, particularly in countries that lack safety nets.",A lockdown in a populated country like India was necessary to save the lives and livelihood of the poor.,Divergent,Divergent
"Lockdowns have increased the divide between the rich and the poor in India. For example, school children who are well off are able to access online learning while the (impoverished) majority cannot.",A lockdown in a populated country like India was necessary to save the lives and livelihood of the poor.,Divergent,Divergent
"The lockdown has put a large number of people in India at risk of poverty due to the pandemic. For many, poverty is synonymous with starvation.",A lockdown in a populated country like India was necessary to save the lives and livelihood of the poor.,Divergent,Divergent
It is easier and more economically viable for the state to selectively isolate the elderly and vulnerable instead of a general lockdown.,"Maintaining a general lockdown can result in a faster lowering of the rate of infection. This makes it more likely that restrictions can be eased faster for everyone, including the young, the elderly, and the vulnerable.",Divergent,Divergent
It is easier and more economically viable for the state to selectively isolate the elderly and vulnerable instead of a general lockdown.,Shielding the elderly and allowing the young to go out can be discriminatory. The NHS Chief in the UK referred to this practice as a form of apartheid.,Divergent,Divergent
It is easier and more economically viable for the state to selectively isolate the elderly and vulnerable instead of a general lockdown.,It is operationally impossible to isolate all those who are at risk from coming in contact with people from groups who are not at high-risk.,Divergent,Divergent
"The under 50's with no comorbidities would, with relatively low risk, keep the world economy going while protecting those with higher risk.",Society would become segregated between those who were or weren't in the vulnerable group. This would be quite divisive. Some would find it lonely too. At least we're all in the same boat at present.,Divergent,Divergent
The economies of most countries have suffered greatly under lockdowns.,Lockdowns mitigated the economic fallout that the pandemic would have otherwise caused.,Divergent,Divergent
Other things that may reduce hospitalizations are economic insecurity and loss of health insurance.,Lockdowns and stay-at-home orders are effective in changing the rate of hospitalizations from a curve (exponential function) to a line (linear function).,Divergent,Divergent
The data on which the curve of infections is based is not a reliable parameter on which lockdowns can be based. This is because the visible rate of infections is dependent on the rate of testing.,"Lockdown is the only way we can flatten the curve. If more and more people keep interacting, then this will result in increased rate of infections.",Divergent,Divergent
"In some contexts, badly organized lockdowns can increase the spread of the Covid-19.","Lockdown is the only way we can flatten the curve. If more and more people keep interacting, then this will result in increased rate of infections.",Divergent,Divergent
Lockdowns have also destroyed many small businesses.,Lockdowns have changed the ways workers and companies conduct their business.,Not Divergent,Not Divergent
"Lockdowns have caused a drop in the well-being of employees. This, in turn, can cause a decline in productivity for many businesses.",Lockdowns have changed the ways workers and companies conduct their business.,Not Divergent,Not Divergent
"Lockdowns have caused a drop in the well-being of employees. This, in turn, can cause a decline in productivity for many businesses.","For some workers, working from home increased productivity because they found themselves free of distractions that working from offices involved.",Divergent,Divergent
Lockdowns are detrimental to what is integral to our society: individual liberties.,The human desire is not always the best logical responder to problems. Liberty is integral to our societies but rules need to be established to keep our society going.,Not Divergent,Not Divergent
Lockdowns are detrimental to what is integral to our society: individual liberties.,"Individual liberty often justifies actions that harm others while maximizing self-interest. Amidst a pandemic, this is unethical because it can entail suffering and loss of life.",Divergent,Divergent
"Lockdowns are being generally applied to large heterogeneous geographic areas, without differentiating those areas based on local risk.",Countries have now started to adopt smart-lockdowns to target areas that might be the hotspots for the virus.,Divergent,Divergent
"Lockdowns are being generally applied to large heterogeneous geographic areas, without differentiating those areas based on local risk.",It is operationally impossible to isolate all those who are at risk from coming in contact with people from groups who are not at high-risk.,Not Divergent,Not Divergent
"Even if lockdowns are sometimes necessary, they are being imposed upon people in areas that do not need them.",Areas where lockdowns are not necessary are usually reopened by the government.,Not Divergent,Not Divergent
Lockdowns can be used to validate authoritarian measures by the state that limit freedom. This poses a threat to our democratic rights.,It is possible to sustain measures like lockdowns without harming democratic rights. Authoritarian measures do not discredit lockdowns but make it important that democratic institutions are strengthened alongside.,Divergent,Divergent
"In many countries, lockdowns involved a violation of human rights because they were enforced through the excessive use of force.","On 25th March 2020, the EU continued to renew its commitment to democracy through its ‘Action Plan Human on Rights and Democracy 2020-2024’.",Divergent,Divergent
"In a free society, individuals have the right to make an independent, informed decision about whether or not they wish to isolate.",The amount of background information needed to make an informed decision is too much for the average layperson.,Divergent,Divergent
"In a free society, individuals have the right to make an independent, informed decision about whether or not they wish to isolate.","It is illogical to consider the choice to go outside during a pandemic an informed one, when no one can accurately consider what it would be like to have their life irreversibly altered or ended by contracting Covid-19.",Divergent,Divergent
"This is symmetric. A lockdown is maximising the interests of the elderly while hurting the young and healthy. As such, it’s not unethical but merely a question of compromising to maximise overall value.","Individual liberty often justifies actions that harm others while maximizing self-interest. Amidst a pandemic, this is unethical because it can entail suffering and loss of life.",Divergent,Divergent
"A lockdown can be considered an exaggeration for people where it creates a crying wolf situation for them. Next time, those people would be more reluctant to respond to crises when they arise, thereby increasing the extent of the damage created by them.",It cannot be called a crying wolf situation when over a million people are dead already.,Divergent,Divergent
"A million is a tiny amount. It's approximately 0.000128% of the total population, and so is not a significant threat to humanity.",It cannot be called a crying wolf situation when over a million people are dead already.,Divergent,Divergent
Governments should strive to achieve herd immunity to tackle Covid-19.,"Until the efficacy of herd immunity is proven, governments should take the safer approach and enforce lockdowns.",Divergent,Divergent
Governments should strive to achieve herd immunity to tackle Covid-19.,It is unclear whether natural immunity to Covid-19 exists.,Divergent,Divergent
Many countries opted for herd immunity instead of going through with lockdowns.,"Immunity to Covid-19 has been shown to be short lived making herd immunity very hard, if not impossible to attain.",Divergent,Divergent
Many countries opted for herd immunity instead of going through with lockdowns.,"Russia, which had been resisting locking-down, was experiencing record high numbers of cases in December 2020. Authorities then capitulated and brought in limited lockdowns.",Not Divergent,Not Divergent
"In March 2020, Britain wanted to build herd immunity within its population.","The UK had to forgo herd immunity due to its immense fallout and imposed its first lockdown in March 2020. In December 2020, the UK imposed its fourth lockdown.",Not Divergent,Not Divergent
The initial Swedish strategy was to curb transmission by achieving herd immunity without significant lockdowns and distancing measures.,"Sweden has faced incredibly high death tolls, as well as criticism from both internal and external sources for its strategy.",Divergent,Divergent
Belarus did not impose a lockdown and had one of the lowest number of deaths in Europe.,Belarus is suspected to have many more cases and deaths than official statistics claim.,Divergent,Divergent
Belarus did not impose a lockdown and had one of the lowest number of deaths in Europe.,"The low number of deaths are attributed to Belarus' large hospital capacity, early testing, and the self-isolation practiced by citizens - not to herd immunity.",Not Divergent,Not Divergent
"Lockdowns don't allow for herd immunity to be created, which means that unless a global vaccination is found against Covid-19, lockdowns don't represent a long-term solution.","Large amounts of funding have meant that vaccines have been created, and are being distributed already.",Not Divergent,Not Divergent
Treatments and medications are now known and we can deal with Covid-19 better so a lockdown is not necessary.,"As of early December 2020, there is still no cure for Covid-19.",Divergent,Divergent
Treatments and medications are now known and we can deal with Covid-19 better so a lockdown is not necessary.,"Even if the medication were available, no country has the resources to deal with its entire population being infected in a short span of time.",Divergent,Divergent
"Some clinical trials have found that remdesivir has been successful in reducing the risk of death when one contracts Covid-19, and can reduce the length of hospitalisation.",In November 2020 the WHO recommended against the use of remdesevir in treating Covid-19 patients.,Divergent,Divergent
"Some clinical trials have found that remdesivir has been successful in reducing the risk of death when one contracts Covid-19, and can reduce the length of hospitalisation.",A study published in December 2020 was unable to conclusively demonstrate that remdesivir was effective against Covid-19.,Divergent,Divergent
"The FDA approved the use of remdesivir despite this recommendation, basing their approval off of three randomized trials that had more positive outcomes.",In November 2020 the WHO recommended against the use of remdesevir in treating Covid-19 patients.,Divergent,Divergent
Convalescent plasma has been used to treat many patients with Covid-19.,The NHS has not officially formulated a stance regarding convalescent plasma therapy due to insufficient data.,Not Divergent,Not Divergent
Convalescent plasma has been used to treat many patients with Covid-19.,A study published in November 2020 saw that there was no significant difference in mortality rates between Covid-19 patients who were and who were not treated with convalescent plasma.,Divergent,Divergent
"In March 2020, the FDA approved the use of convalescent plasma.","In September 2020, the FDA concluded that there was insufficient evidence to approve the use of convalescent plasma therapy. The spokeperson for the FDA, who had greatly exaggerated its benefits, was fired for his misleading claims.",Divergent,Divergent
An early analysis found that patients treated with bamlanivimab were less likely to be hospitalized than those who were not treated with bamlanivimab.,"As of December 2020, the NIH has not approved the use of bamlanivimab due to insufficient data.",Divergent,Divergent
An early analysis found that patients treated with bamlanivimab were less likely to be hospitalized than those who were not treated with bamlanivimab.,The phase 3 trials for bamlanivimab were paused due to safety concerns in October 2020.,Divergent,Divergent
Experts believe many examples of people getting reinfected were simply cases of lingering infection.,Early reports showed that people who had caught Covid-19 once had become reinfected.,Not Divergent,Not Divergent
There will always be a small number of people who catch a disease twice.,Early reports showed that people who had caught Covid-19 once had become reinfected.,Not Divergent,Not Divergent
"As of November 2020, studies have shown that natural immunity to Covid-19 appears to be long-lasting.",It is unclear whether natural immunity to Covid-19 exists.,Divergent,Divergent
"As of November 2020, studies have shown that natural immunity to Covid-19 appears to be long-lasting.","The immune protection from Covid-19 varies depending on the severity of the infection, with those who are mildly infected only generating immune protection that lasts a few months.",Divergent,Divergent
Lockdowns have negative social impacts on people and society.,A study in July 2020 found that the lockdown has had a positive impact on family dynamics and well-being in the UK.,Divergent,Divergent
Lockdowns have negative social impacts on people and society.,"The lockdown encouraged people to take up more hobbies, which have been a positive addition to the lives of many people.",Divergent,Divergent
Lockdowns have created a mental health epidemic.,It could be argued that a mental health epidemic could be easier to treat or to cure than the harms caused by this global health pandemic.,Divergent,Divergent
Lockdowns have created a mental health epidemic.,"The lockdown is an unprecedented situation for most people. Given time, people will adjust to it.",Divergent,Divergent
Lockdowns have created a mental health epidemic.,There are several tested strategies that people can now employ in order to deal with the emotional and mental fallout from the second lockdown.,Not Divergent,Not Divergent
Lockdowns have created a mental health epidemic.,The impact of lockdown on mental health does not entail that they are wrong but that lockdowns should be mandated alongside measures to improve mental health.,Not Divergent,Not Divergent
Lockdowns have created a mental health epidemic.,Some people have found that their mental health has improved during lockdowns.,Divergent,Divergent
Increased loneliness as a result of a lockdown can negatively affect mental health.,Digital devices were a very important tool to fight loneliness during the lockdown.,Not Divergent,Not Divergent
Not everyone has the means or knowledge to use technology to access support.,Digital devices were a very important tool to fight loneliness during the lockdown.,Divergent,Divergent
Lockdowns are a significant source of stress.,Lockdowns can be sudden because they respond to the fluctuating rates of transmission. This can cause significant stress to people because they usually have little time to plan and organize.,Not Divergent,Not Divergent
Lockdowns are a significant source of stress.,Researchers have been studying and devising ways in which people can effectively cope with the stress induced by lockdowns.,Not Divergent,Not Divergent
Lockdowns are a significant source of stress.,"A study in London found that people found it easier to cope with the lockdowns that followed the first lockdown. This suggests that, with time, people adapt to the lockdowns and are less stressed.",Not Divergent,Not Divergent
Suicide rates are estimated to have increased as a result of the depression caused by the lockdowns.,"The article quotes a number significantly less than hundreds of thousands, i.e. an increase in suicides of about 2135 to 9570 per year.",Not Divergent,Not Divergent
Abusers have greater access to their abusee.,"This is not necessarily true. In cases where abusers and the abused are not isolating together, abusers may have more difficulty meeting the abused due to the lockdown.",Divergent,Divergent
A mental health epidemic will affect more people and will thus require more resources.,It could be argued that a mental health epidemic could be easier to treat or to cure than the harms caused by this global health pandemic.,Divergent,Divergent
"One of the issues, as of December 2020, is that countries and regions keep going in and out of lockdowns, which disrupts peoples' ability to simply adjust to it.","The lockdown is an unprecedented situation for most people. Given time, people will adjust to it.",Divergent,Divergent
"Of all the countries that included mental health support in their response plans in October 2020, only 17% of them have set aside additional funding for this.",Some governments have allocated funding to reduce the impact of the pandemic on mental health.,Not Divergent,Not Divergent
"Measures concerning mental health during the pandemic are likely to be ineffective in many instances. This is because it is very challenging to address, in the short-term, the socio-economic realities that exacerbate mental issues.",The impact of lockdown on mental health does not entail that they are wrong but that lockdowns should be mandated alongside measures to improve mental health.,Not Divergent,Not Divergent
People will also face additional mental health struggles when countries come out of lockdown.,Some people have found that their mental health has improved during lockdowns.,Divergent,Divergent
People will also face additional mental health struggles when countries come out of lockdown.,"Many people will be able to travel post-lockdown, which can lead to happiness.",Divergent,Divergent
The serious mental health issues caused by the lockdowns will not be sufficiently combatted by things which provide short term happiness.,"Many people will be able to travel post-lockdown, which can lead to happiness.",Divergent,Divergent
"The impact of the lockdown on mental health was disproportionately negative. While some saw improvements, many people from vulnerable and marginalized groups saw a severe decline in mental health.",Some people have found that their mental health has improved during lockdowns.,Not Divergent,Not Divergent
"In many places, lockdowns have had a negative impact on gender equality.","In some contexts, the lockdowns helped further the cause of gender equality by reversing traditional gender roles concerning parenting and household work.",Divergent,Divergent
"In the US, low income families are finding the pandemic incredibly difficult, with fears raised for child development due to fighting at home, on account of economic instability caused by lockdowns (p. 17).",A study in July 2020 found that the lockdown has had a positive impact on family dynamics and well-being in the UK.,Divergent,Divergent
The push towards self-improvement in the midst of the pandemic has created a culture where time spent not doing so is seen as wasted.,"The lockdown encouraged people to take up more hobbies, which have been a positive addition to the lives of many people.",Not Divergent,Not Divergent
"Even if lockdowns are effective, the laws mandating a lockdown are wrong because they are unpopular/unwanted (due to being restrictive).","In the UK, the lockdown is being legally challenged.",Not Divergent,Not Divergent
"The lockdown restricts freedom of movement, which is a human right.",The scale and severity of the pandemic justifies curtailing this right.,Divergent,Divergent
"Just because there are people challenging the law by thinking it's unconstitutional, doesn't automatically make it so.","In the UK, the lockdown is being legally challenged.",Not Divergent,Not Divergent
"The challenge in question has been rejected by every court it has been through, short of the UK Supreme Court, to which it is being appealed as of December 2020.","In the UK, the lockdown is being legally challenged.",Not Divergent,Not Divergent
Administering the vaccine has been fraught with organizational and logistical problems in the US that have greatly delayed the rollout.,The vaccine for Covid-19 was successfully developed and has been rolled out in the US and the UK.,Not Divergent,Not Divergent
"Only 2 billion people are expected to be vaccinated by the end of 2021. It could be much longer before the rest of the world is vaccinated, and as such, before lockdowns are lifted.","By containing the spread of the virus, lockdowns delay the damage inflicted by the virus until such time as the vaccine can be developed and administered.",Not Divergent,Not Divergent
Lockdowns can be complicated by the mixed messages of public authorities.,"A simple message allows brands to build on public health messaging, which helps to ensure people understand the message.",Divergent,Divergent
"Other measures such as closing shops and school can also be done instead of a lockdown. If people are advised by politicians to practice social distancing, then there is no need for a lockdown. For instance; leaders of Japan enforced rules during the pandemic and the people followed it, avoiding the need for a lockdown.",Lockdowns are the simplest and most easily enforced tool available to the government.,Divergent,Divergent
