text1,text2,ZS response,final_val
Children cannot understand the consequences of their parents' decisions about their diet. Therefore children should not be forced to follow said diet (as they cannot consent).,"This is true of any lifestyle choice that a parent decides for their children, including feeding them a diet that contains animal products.",Not Divergent,Not Divergent
Children cannot understand the consequences of their parents' decisions about their diet. Therefore children should not be forced to follow said diet (as they cannot consent).,"Until children are older, it is both necessary and essential for parents to make such decisions on their behalf: children, and even adolescents, cannot competently and consistently make reasoned decisions for themselves (p.19).",Not Divergent,Not Divergent
"The developing autonomy of children should be nurtured and respected rather than dismissed, as to do so aids emotional maturity and stability. Thus, parents should involve their children in decisions about the latter's diet.","Until children are older, it is both necessary and essential for parents to make such decisions on their behalf: children, and even adolescents, cannot competently and consistently make reasoned decisions for themselves (p.19).",Divergent,Divergent
"The developing autonomy of children should be nurtured and respected rather than dismissed, as to do so aids emotional maturity and stability. Thus, parents should involve their children in decisions about the latter's diet.",Developing autonomy does not mean that parents cannot set boundaries and restrictions.,Not Divergent,Not Divergent
"The vegan movement is largely based on the idea that to be vegan is to protect animal rights. Human beings are also animals. Depriving an animal of foods they have evolved to eat by nature is a violation of their rights; thus, veganism may be said to abuse human rights in the name of protecting other animals' rights.","As the consumption of animal products carries significant health risks, to deny one's children these products is to care for their health, which seems the opposite of a human rights violation.",Divergent,Divergent
"The vegan movement is largely based on the idea that to be vegan is to protect animal rights. Human beings are also animals. Depriving an animal of foods they have evolved to eat by nature is a violation of their rights; thus, veganism may be said to abuse human rights in the name of protecting other animals' rights.",Vegans often cite environmental and health reasons for not being carnist.,Divergent,Divergent
"The vegan movement is largely based on the idea that to be vegan is to protect animal rights. Human beings are also animals. Depriving an animal of foods they have evolved to eat by nature is a violation of their rights; thus, veganism may be said to abuse human rights in the name of protecting other animals' rights.","Saying that humans have a right to eat meat because we have evolved to do so is like saying humans have a right to have sex. This is obviously fallacious. We don't have a right to either, but can engage in it if all parties involved consents to it. No non-human animal has given consent to being killed. Therefore, we cannot ethically kill a non-human animal.",Divergent,Divergent
Evidence suggests that the human body has adapted for digesting both plants and animal products.,That Homo Sapiens evolved as omnivores does not prove that they require meat then or today but rather that they adapted over time to have maximum food options.,Not Divergent,Not Divergent
Evidence suggests that the human body has adapted for digesting both plants and animal products.,"The human body is capable of digesting animal products, but does by no means require it. It is perfectly healthy to eat a plant-based diet.",Not Divergent,Not Divergent
There are considerable health risks for children who follow a vegan diet.,Many other foods and diets currently followed also carry significant health risks for children.,Not Divergent,Not Divergent
There are considerable health risks for children who follow a vegan diet.,"As long as parents have good nutritional knowledge, no health risk has been found for children following a vegan diet.",Divergent,Divergent
